"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92"
"1",0.0522802909200685,-2.53986588131014e-07,-1.28926278693349e-07,-4.45267231497337e-07,-5.33141759446989e-07,-5.28417069067979e-08,-1.09171262278549e-08,-2.51698729431389e-08,-2.33857190470527e-08,1.59257536153528e-08,1.31263796563214e-07,1.68370653838915e-07,-2.01128854730134e-07,-1.42243343651752e-07,-5.95218082029719e-09,1.27425298445943e-07,-8.26408771422402e-09,-8.70301039906765e-09,-3.51858609764854e-08,-1.63802215764421e-07,2.61056041786146e-07,1.37588291468892e-07,7.36237059378949e-09,-2.30264450257678e-07,-3.43239223267547e-07,2.28714464609697e-07,-2.37281968777137e-07,1.28090602451884e-07,-1.77182432710639e-07,-9.40251525319474e-08,3.00783579060448e-07,3.90478882483257e-08,-2.56535992266523e-07,-4.90585523352152e-07,-2.95066058730468e-07,-4.54020673061633e-08,8.69102068188645e-09,5.21758565023069e-08,-4.29577315018102e-07,2.3559031677494e-07,3.55113448406635e-07,9.98731147634925e-08,-3.26376596339046e-07,3.12882067591555e-07,4.52140644300965e-07,1.77655980916677e-07,1.09637878301435e-07,1.14084086558173e-08,1.92015687434554e-07,1.21432114945843e-07,2.16678509328703e-07,-1.09371837973229e-07,7.19026755336857e-08,-3.48635010320824e-07,-8.71844126773788e-08,3.12183270011116e-07,6.86048267198012e-07,4.62214768214551e-07,1.20164142769222e-07,-1.20422769438489e-08,3.53774115439645e-07,3.1183183642334e-07,5.31023173345684e-08,-2.20257695157309e-07,3.83572280120636e-08,6.4140644352173e-08,2.72020788074262e-07,-2.02971698845909e-07,3.44258823815287e-07,1.64944396115921e-07,2.82287775840535e-07,-1.82107733193465e-07,-1.81945286396156e-07,-1.22526634996573e-07,1.81149090391858e-07,1.83785170100314e-07,-3.65636673603815e-07,2.65557465688992e-07,-1.05441013031969e-07,1.20079060437377e-07,-3.81055655963236e-07,-1.04357630084872e-07,1.26620406611724e-07,3.3394729371923e-07,1.53176865288825e-07,-1.00236641080728e-07,-2.11298474477039e-07,3.28496927180938e-08,1.27936315908008e-07,-4.46016935129293e-07,-4.15057035245023e-08,1.67399106659012e-08
"2",-2.53986588131014e-07,0.0522802821180301,-5.83930157875123e-07,-1.63035714939598e-07,-5.49283620906608e-08,-2.84410224413466e-07,2.00519848158819e-07,1.93891621489605e-07,-3.30566816285896e-07,-2.35598405797929e-07,-1.64539887082151e-07,-1.33314023161267e-07,4.43423640584881e-08,1.54620898323257e-07,-3.20002195502508e-07,3.00087334539318e-07,1.8939480760119e-07,1.88215193090624e-07,1.64461578052233e-07,1.46661806704732e-07,-5.91474875142884e-08,3.84246614245925e-07,2.84425647131727e-07,5.87937972172849e-09,6.81373306278621e-10,2.82161936219686e-08,1.05309679401483e-09,3.08933366405544e-07,1.5111750869741e-07,-4.1924028260422e-07,3.68761032297193e-07,-2.52243808321951e-07,9.22318824583929e-08,-3.92520824978985e-08,3.51060956529055e-08,-2.36784596608954e-07,2.8331014755283e-07,-3.37242533100421e-07,-1.03050429170038e-07,3.22543037615853e-08,6.21924754748789e-08,-2.49575741889306e-08,9.05219543972829e-08,3.84309504750524e-07,6.74283853297595e-07,3.42381850522631e-07,-1.57207912904652e-08,2.87349003251266e-07,-2.25963935945201e-07,-1.74027411721314e-07,1.22271845480842e-08,-5.30939228994672e-07,3.83487873097633e-07,-9.34395091728036e-08,-2.52652720844918e-07,4.42480091616472e-07,7.79154632024667e-08,-6.80461850573134e-08,-1.52998443821538e-07,-3.09033719306507e-07,-7.70734715411122e-10,-3.74840170652717e-08,-1.13506398645157e-07,1.33947242148322e-08,3.03908068379894e-07,3.88573920368465e-07,6.12920777783363e-07,-3.57269318689695e-07,-1.54218339061623e-07,4.39125843303997e-07,-1.71018151595359e-07,-3.38377257843903e-07,-3.59560291842866e-07,-4.65602671128159e-07,-1.61756526899942e-07,-7.69592668771067e-08,7.47772517441752e-08,4.12996382087667e-07,2.43752302457169e-07,-3.0564434743295e-07,-5.35508711662386e-07,2.20019460243378e-07,-3.74478662544043e-07,-1.10268534118054e-07,4.27531043617172e-07,-3.21395563094134e-07,4.49109667699428e-08,3.6194054471451e-07,3.21995643105261e-07,-1.25865089969009e-07,1.45298113152067e-07,2.93784826252313e-07
"3",-1.28926278693349e-07,-5.83930157875123e-07,0.0522801779424544,-3.34568071147481e-07,-4.1138909822594e-07,-1.0311929093172e-07,6.63492480173861e-08,5.5161212535037e-08,-1.42136505572398e-07,-3.55456573618047e-07,8.37184373413016e-09,3.10065737974599e-08,-2.99276877285367e-08,1.98096745909058e-07,-1.32494784288104e-07,2.68570572553711e-07,7.62362469160403e-08,7.3524517882438e-08,5.24263168168468e-08,1.90121335385924e-07,-2.62410357477432e-07,3.97900549796156e-07,3.36314818628743e-07,2.36279264420183e-07,6.39723205911635e-08,-9.62449145656405e-08,2.32507815173534e-07,2.64901061274902e-07,1.69116158965028e-07,-2.23761604105819e-07,2.87746731545951e-07,-3.78913135728343e-07,1.44286747919946e-07,5.2506055341342e-08,9.35498552535237e-08,-1.88165630667424e-07,3.36633385613938e-07,-2.04007167788232e-07,1.77308296667931e-07,-8.78464994388131e-08,-1.32475546207491e-07,-1.16433907488802e-07,1.52339578237136e-07,3.00300603609705e-07,5.08010613666936e-07,6.31543776280593e-07,-9.94987656682201e-08,3.43328803499152e-07,-3.38851469979874e-07,1.06381437890513e-08,-1.75139728360018e-07,-7.12643260488921e-07,4.97945530630776e-07,1.49187557221502e-07,-2.10044834067938e-07,6.96695723679872e-07,2.16022226467515e-08,1.32440489919215e-07,-1.23392785875727e-07,-2.8560845850118e-07,-2.06050306962564e-07,-1.1421911041213e-07,-5.54925914711404e-08,2.60376897336038e-07,3.53646516396113e-07,1.8658112065327e-07,5.4623595790353e-07,-3.14727110622641e-07,-3.63100152872167e-07,2.52655999785912e-07,-1.29798172752832e-07,-3.20190285410914e-07,-3.04285515819689e-07,-4.44053706914695e-07,-2.49072708314527e-07,-4.74836281818769e-08,1.61803564254226e-07,3.57152950541207e-07,1.25997163089219e-08,-2.44101693313141e-07,-4.93493133458334e-07,2.59268540125395e-07,-4.8617240043968e-07,-1.87505949380259e-07,2.53469756632332e-07,-4.73877235765201e-07,-2.46390582698313e-08,1.57371355492786e-07,2.57666491895764e-07,1.78487148735065e-07,3.73528367218092e-07,3.43813966804228e-07
"4",-4.45267231497337e-07,-1.63035714939598e-07,-3.34568071147481e-07,0.0522800118965677,-8.59781693451139e-07,1.25613651175994e-07,-4.69600419399149e-07,-4.83765435618146e-07,6.29981595699146e-08,1.00941967187624e-07,2.18924480377733e-07,2.63832341200379e-07,-5.74652143341854e-07,-2.06359424082723e-07,7.88971629961375e-08,-1.38551459050877e-07,-4.3684392381915e-07,-4.39370896642137e-07,-4.82365354800837e-07,-2.43684618017407e-07,1.6045480022943e-07,7.4438645363571e-08,1.82842879277785e-07,-1.86586234917865e-07,-3.92560296289711e-07,3.07519295791701e-07,-1.97649674406979e-07,-1.52302946872946e-07,-2.76192969951638e-07,2.74350144402264e-08,-1.54104648738625e-08,1.47658730008466e-07,-7.3193874985706e-08,-1.87314440805006e-07,-3.64788778807547e-07,1.79905414491019e-07,1.85066754952752e-07,1.11827031134033e-07,-2.45709420117246e-07,3.17925838127362e-07,2.73019417492491e-07,2.31468380060154e-07,-5.27270840092315e-08,-5.23541799557508e-09,5.06623510482125e-07,4.34566580106641e-07,2.477900320057e-07,1.94866976762997e-07,-1.43598372286111e-07,2.23652003115131e-07,1.60418246494255e-07,-5.58833053776322e-07,4.95889930317592e-07,-3.04532355077317e-07,1.23437540850393e-07,5.35148322289819e-07,5.82052416824536e-07,6.76696693732889e-07,3.21722425811227e-07,1.66395597837773e-07,2.72951993400966e-07,8.3449977053212e-08,2.80875140668582e-07,-1.49131914265444e-07,-1.29305243067672e-08,-4.49486075623328e-08,5.63547922901027e-07,2.16744175897512e-08,3.92727682052948e-07,4.61367277203166e-08,6.28045763845876e-07,7.8728831794667e-09,4.59479042908374e-08,7.85041796608385e-08,-3.70824595786186e-08,3.66666956075668e-07,-6.80014008806263e-08,-1.03388460075067e-08,-2.55178170912998e-07,4.74839887131322e-07,-1.47455605885719e-07,6.66656798051916e-08,-1.48048528497515e-07,1.1554408543184e-07,6.1311752952496e-08,-2.91353903534333e-08,-5.56947842223315e-07,-9.01301599143599e-08,-1.71239516802872e-07,-2.30735171326818e-07,2.04792835636744e-08,2.00489111530617e-07
"5",-5.33141759446989e-07,-5.49283620906608e-08,-4.1138909822594e-07,-8.59781693451139e-07,0.0522801168825536,1.87444459793641e-07,-3.26274112293851e-07,-3.41661031291457e-07,1.52058511103378e-07,3.21517319913614e-08,2.89880737753614e-07,3.26221185416785e-07,-4.47011873213635e-07,-1.07092477597215e-07,1.67372327534461e-07,-2.70746770304372e-08,-2.86100227791329e-07,-2.88605737185321e-07,-3.27109455570013e-07,-1.29521524189789e-07,7.61931900785735e-08,1.46938484823805e-07,9.17830108562305e-08,-7.86343076464951e-08,-2.81205663609681e-07,2.12166991705169e-07,-8.91729994748618e-08,-4.91409956689897e-08,-1.70075411530908e-07,1.00865555793827e-07,1.03349433268136e-07,6.3544236116512e-08,-1.83266236919704e-07,-2.7947104187313e-07,-2.46119427604897e-07,9.54126643675387e-08,9.39877526560335e-08,1.63345746594633e-07,-1.49954775440227e-07,2.34590937458148e-07,1.8005657688999e-07,1.52152387148345e-07,-1.53545314650367e-07,1.16417420835665e-07,3.42396163478614e-07,4.44020855827413e-07,1.72162711891257e-07,1.0249174407965e-07,-1.43708708543202e-08,2.91610576886432e-07,7.2427529148171e-08,-4.18541420304557e-07,3.04967356605865e-07,-2.06776888783957e-07,3.95753975256682e-08,5.4747992522542e-07,6.12563453998683e-07,6.97792626836796e-07,2.25392235492981e-07,7.42126437473739e-08,1.82410876653717e-07,1.66505759532704e-07,1.96932821023192e-07,-4.91206357624869e-08,8.27861362403945e-08,-1.51311827492342e-07,4.00792936878127e-07,-8.0207564751453e-08,2.3699700440595e-07,-3.54470212576024e-08,4.64082758907946e-07,-9.49482589496264e-08,-3.71374463526542e-08,-1.16127767193184e-08,3.12875588790453e-08,2.81665336256235e-07,-1.54922922287901e-07,7.85998468019414e-08,-3.54575985915847e-07,3.14926825188761e-07,-2.47551943963694e-07,-3.51620150946925e-08,-7.43560991278727e-08,1.83930038886131e-07,-2.8048742185525e-08,-1.31618942631384e-07,-4.49204084077617e-07,-1.90819476859598e-07,-8.19465967655663e-08,-1.34861339333421e-07,1.17562692538944e-07,1.0830360212979e-07
"6",-5.28417069067979e-08,-2.84410224413466e-07,-1.0311929093172e-07,1.25613651175994e-07,1.87444459793641e-07,0.0522806114751971,-2.24602195987387e-08,-1.46662957368102e-08,-3.69969893127401e-07,-2.02219267926451e-07,-2.02940210358641e-07,-2.36806755222678e-07,3.01315255556022e-07,2.94146789751652e-07,-3.73309145905519e-07,1.32256426511176e-07,-2.78959788917136e-08,-3.21415702463637e-08,-5.17835878453076e-09,-1.24408129180908e-07,1.25550970916513e-08,1.36631556412338e-07,1.55046429367452e-07,-1.5317293599119e-07,1.36246170631345e-07,4.72687265973368e-08,-1.38883514506177e-07,1.3346551280116e-07,-1.30140986223038e-07,-1.88876489150896e-07,-2.90514216017846e-08,9.56039142446732e-08,2.81556417222443e-07,1.32472333313233e-07,1.53102326451624e-07,-3.32835276441158e-07,1.57901866719198e-07,5.22543768995433e-08,6.58784414475334e-08,3.35624779728894e-08,1.07134026653346e-07,-1.57330306899953e-07,2.30694500053101e-07,-2.78511299267368e-08,3.91642553321533e-07,1.74154322601367e-08,-1.53623635582905e-07,1.50884769160065e-07,-3.02526913227912e-07,-2.14282710856703e-07,-8.22109140166519e-08,-2.3019056912416e-07,7.4927783404955e-08,1.0070271760206e-07,-3.16745443896568e-07,1.61386267669481e-07,1.07158196616817e-07,-9.44550604856006e-09,-1.13388554258569e-07,-2.54620477998633e-07,6.67956756345831e-08,-9.97075026643935e-08,-1.65804619065608e-07,-1.91467019406093e-07,3.69773749644897e-08,1.69775273827602e-07,2.67484222877479e-07,-1.13195849040658e-07,2.84528406934537e-07,2.88914745293761e-07,-1.56330278007711e-07,-9.48608707497922e-08,-9.14038285399315e-08,-6.61133226926309e-08,5.19968841948087e-08,3.89035966298007e-08,-1.21182829743917e-07,2.49468560751819e-07,4.58361412146188e-07,-2.65644030700841e-07,-2.90810404696745e-07,5.29804395323201e-08,4.79249344396682e-08,-4.90247460256757e-08,2.57735337724577e-07,2.40976337474933e-08,2.66550882027887e-07,1.88961504610421e-07,1.32413160769739e-07,3.70580156918696e-08,2.13041449837687e-08,1.36985501344379e-07
"7",-1.09171262278549e-08,2.00519848158819e-07,6.6349248017386e-08,-4.69600419399149e-07,-3.26274112293851e-07,-2.24602195987387e-08,0.0522804244930829,-6.35302719794164e-07,-5.81525866841508e-08,-5.19194404817511e-08,8.64456098411677e-08,1.03221711192867e-07,-1.00487197202106e-07,1.63342244215715e-07,-7.26298974776171e-08,-2.74704748003048e-07,-6.12640538707379e-07,-6.10560869760166e-07,-6.27654273928389e-07,-4.23481355052966e-07,4.21641946556301e-08,-5.59598552697579e-08,6.96037711018615e-08,-3.23914915883607e-07,2.53699578404475e-08,2.09940837979887e-07,-3.38835440963778e-07,-2.97702091376232e-07,-4.12855433926127e-07,3.32003440524907e-07,-5.56796736904698e-07,4.38355067146403e-07,2.76109065409225e-07,1.79437060747553e-07,3.17846802076459e-08,-5.33140200720853e-09,7.61373392711133e-08,4.28120694528522e-07,1.37649299023162e-07,2.09546787969685e-07,1.53541862925801e-07,9.91171578311829e-08,2.93104679388248e-07,-5.78726321281515e-07,1.06809901240487e-07,3.3805972653194e-08,9.1380120010941e-08,6.1920031877279e-08,-3.04830136241367e-07,8.78502888788254e-08,2.7804561744051e-08,-1.03919570273801e-07,1.08745391113331e-07,9.26521771977415e-08,-1.16738438832333e-08,1.87125798547601e-07,2.70338031635601e-07,3.92282369019244e-07,1.7380900092668e-07,2.80713117219597e-08,1.7237308608889e-07,-4.69206610946966e-08,1.49832493177564e-07,-3.26051780597032e-07,-2.11057462384592e-07,-2.0783889954585e-07,1.97562712307505e-07,3.37949924701343e-07,6.10179824428321e-07,-7.90594474128962e-08,3.63202340224594e-07,3.29737694651515e-07,3.55525792723286e-07,3.89168855289633e-07,2.96413260371169e-07,2.53873885699514e-07,-2.31435601105169e-07,-1.40251081647736e-07,1.42075984617006e-07,1.76041574875658e-07,2.02193848981789e-07,-6.73775835845611e-08,2.09431103236201e-07,-1.02887394933687e-09,-5.29155527527113e-08,3.0956558822628e-07,-8.71158568912065e-08,-2.09104792807485e-07,-2.86896906629162e-07,1.44158238107444e-07,-1.20061294563973e-07,8.00804899869956e-08
"8",-2.51698729431389e-08,1.93891621489605e-07,5.5161212535037e-08,-4.83765435618146e-07,-3.41661031291457e-07,-1.46662957368102e-08,-6.35302719794164e-07,0.0522804338538561,-6.59369315034652e-08,-4.68008123123772e-08,8.67131575725327e-08,1.1501640940661e-07,-1.10506079066786e-07,1.62881727325597e-07,-6.82591026464276e-08,-2.78630072578114e-07,-6.08539837275984e-07,-6.06461828734701e-07,-6.28366228219593e-07,-4.13327743693111e-07,3.87789886180087e-08,-5.80462360804931e-08,6.3250993950738e-08,-3.23311221266522e-07,1.28687017034556e-08,2.07037619948886e-07,-3.39978520921763e-07,-2.92706486295872e-07,-4.20162999603972e-07,3.36931794468132e-07,-5.42393120995452e-07,4.31560325296068e-07,2.68154751022105e-07,1.69479413648944e-07,3.87053401158556e-08,9.3604775281489e-09,7.26879046684912e-08,4.19258856702267e-07,1.42724381994439e-07,2.0779960863658e-07,1.59378880505938e-07,9.4932343969748e-08,2.77831831330969e-07,-5.52433231405304e-07,1.16620856465209e-07,4.67328637273753e-08,9.44180570587016e-08,6.74578422091387e-08,-2.9904877332394e-07,9.24378631108564e-08,2.30399197595697e-08,-1.13951719123905e-07,1.17672023704288e-07,9.57007014327592e-08,-1.80869353347822e-08,1.9638532301938e-07,2.85204975248468e-07,4.06643978548823e-07,1.84580471111166e-07,3.55545378411661e-08,1.66579785801677e-07,-4.87792970361941e-08,1.45945435809301e-07,-3.13129076795084e-07,-1.91483250008089e-07,-1.95009265321094e-07,2.05319233242901e-07,3.28236330702405e-07,6.13088721140094e-07,-8.27085781783454e-08,3.66920924057439e-07,3.18076599639686e-07,3.48112569734194e-07,3.76342659214779e-07,2.84466204845481e-07,2.54373202381464e-07,-2.28006976434532e-07,-1.36073430558248e-07,1.28317018522666e-07,1.82810907633858e-07,1.8766404999037e-07,-6.98703331749017e-08,2.16924084360365e-07,-2.26974751080624e-09,-6.11855652310129e-08,3.05470737568219e-07,-1.0153840687137e-07,-2.16966246709437e-07,-2.90106539096277e-07,1.5009775336701e-07,-1.17278714818653e-07,7.63350812863806e-08
"9",-2.33857190470526e-08,-3.30566816285895e-07,-1.42136505572397e-07,6.29981595699145e-08,1.52058511103377e-07,-3.69969893127401e-07,-5.81525866841507e-08,-6.59369315034651e-08,0.0522806536838298,-1.69521335823091e-07,-2.2957963663444e-07,-2.22543140860881e-07,2.40862835550716e-07,3.4849900696319e-07,-4.09265146772442e-07,6.60581600999323e-08,-1.00950818135114e-07,-1.02501444147311e-07,-8.79585185895717e-08,-8.54967912372508e-08,-1.68868964304338e-08,1.9250370147393e-07,1.4791799506255e-07,-2.02249927328214e-07,1.70328976196935e-07,1.01076039010668e-07,-1.88634919838674e-07,9.47284264255307e-08,-8.22314423231096e-08,-1.75649972438525e-07,-4.45292997284173e-08,1.26583735885044e-07,2.76417888225003e-07,1.63028652317337e-07,2.3526002456567e-07,-3.32955396031114e-07,1.49993567278376e-07,4.0942640844219e-08,1.15849758795457e-07,8.37946197215089e-08,9.65632562303929e-08,-1.22206750822202e-07,2.78321485397996e-07,-2.95745283555834e-08,3.93360967963624e-07,7.09121440583329e-08,-1.13301332831426e-07,1.51131986210853e-07,-3.5572578371046e-07,-2.36273599447458e-07,-1.09555757398861e-07,-2.60741090094569e-07,1.25849659611663e-07,1.16082516246419e-07,-3.38324787078454e-07,2.0736455998395e-07,1.20722208669652e-07,3.85175300308001e-09,-8.81748702249821e-08,-2.32752921003313e-07,4.74876740236332e-08,-1.41968422153037e-07,-1.97833530520823e-07,-1.96261176650937e-07,1.10758268274787e-07,1.8967437314252e-07,3.73538706545461e-07,-1.06358776610381e-07,2.98945571518109e-07,2.6738190486184e-07,-1.15678415821377e-07,-8.87686090650413e-08,-1.28507777229334e-07,-8.72410298144671e-08,3.73358677533472e-08,1.07744916899613e-08,-9.78790256608243e-08,2.27249064870537e-07,4.17408910117083e-07,-2.27138093048641e-07,-2.95799098487971e-07,5.35062567740168e-08,7.44947790877606e-08,-6.76902702294108e-08,2.28987133047358e-07,1.03915260352825e-07,2.37642945537912e-07,1.65516484653519e-07,1.16093783229837e-07,9.97524382264149e-08,-2.39502039085336e-08,1.29470256368548e-07
"10",1.59257536153527e-08,-2.35598405797929e-07,-3.55456573618047e-07,1.00941967187624e-07,3.21517319913615e-08,-2.02219267926451e-07,-5.19194404817512e-08,-4.68008123123772e-08,-1.69521335823091e-07,0.0522805568130273,-1.31939713683987e-08,-1.30820371696961e-08,2.73458878799005e-07,2.74586428240015e-07,-1.7659333866791e-07,8.88906295230813e-08,-8.73013393023214e-08,-8.39925200856407e-08,-5.57340864549548e-08,-1.62807897303597e-07,-2.61620203837826e-07,1.17591903356678e-07,1.94727927708237e-07,1.34772917173699e-08,1.30008470220029e-07,-1.78129309173185e-07,2.25351755798616e-08,1.08285386667429e-07,-1.39334410880551e-07,9.45882308483676e-08,-3.20026685618829e-08,-1.19990513632807e-07,3.51443563581764e-07,1.69717721042061e-07,1.57319758954746e-07,-2.16334651840743e-07,1.96947299057576e-07,3.68049566850304e-08,2.46807955267779e-07,-1.99910136300707e-07,-1.3863724836377e-07,-1.87624295553285e-07,2.73965331911342e-07,-4.72876496660823e-08,2.44601076716956e-07,2.67595205039554e-07,-1.88059130006836e-07,1.89971843421733e-07,-2.47284652622964e-07,-1.25108365123364e-08,-1.09063694832008e-07,-1.19173910217522e-07,1.86520144492554e-07,3.43163376851564e-07,-1.9394657347215e-07,3.74576121482771e-07,-1.10255744206532e-07,-4.6088899693853e-08,-1.92759261417038e-07,-3.40613237916439e-07,-1.12245037064978e-07,-5.7979409579477e-08,-7.06521746464161e-08,1.65008865974578e-08,2.33316167170704e-08,7.06745398848228e-08,1.36207376034799e-07,6.27089474310316e-08,-5.03420667924721e-08,1.55212035508564e-07,-1.65886933536216e-07,5.99171235767773e-08,1.93322462185151e-08,-1.15355320386166e-07,1.55963488956428e-07,-8.77469478698641e-08,-1.11634780473631e-07,2.25569329001719e-07,3.08022689215242e-07,-3.72532858807286e-07,-1.07937998577171e-07,1.09254628733886e-07,-1.18171977936087e-07,-2.17694536688923e-07,1.43974525604819e-07,-2.34706772833098e-07,2.90339532882004e-07,6.78875398167695e-08,1.36568200254723e-07,2.50338191703796e-07,1.61911596698147e-07,1.74475465645466e-07
