"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92"
"1",6.6055246793538e-05,2.11854174527145e-05,1.07714942173652e-05,3.72158950559496e-05,4.45497240120551e-05,4.42284530765701e-06,9.18553614118612e-07,2.0980745700018e-06,1.94657324651581e-06,-1.35824600154696e-06,-1.09592769826838e-05,-1.40169186569967e-05,1.68435252842719e-05,1.18996370349771e-05,4.99358751142344e-07,-1.06255347318522e-05,7.14311483849865e-07,7.5650942150327e-07,2.94837168636853e-06,1.3687635103542e-05,-2.1817035534587e-05,-1.14724995658909e-05,-6.09896672375915e-07,1.92598518665832e-05,2.8668179495498e-05,-1.91158581708722e-05,1.98247109290138e-05,-1.06809926645328e-05,1.47934490843519e-05,7.90196392762048e-06,-2.51351636700775e-05,-3.26052372188024e-06,2.14593417911778e-05,4.09523242738042e-05,2.46735840505898e-05,3.83673378446225e-06,-7.26141725568215e-07,-4.33639440639989e-06,3.59402020313905e-05,-1.96954802939161e-05,-2.96525511876787e-05,-8.35231985171223e-06,2.72436292836433e-05,-2.6158021913583e-05,-3.7813965133165e-05,-1.48367040059729e-05,-9.18798606459017e-06,-9.53161256483734e-07,-1.60516047388679e-05,-1.01464259011821e-05,-1.81276023656256e-05,9.18141080851846e-06,-6.05366515914377e-06,2.9162905402112e-05,7.24812620761494e-06,-2.60821375795423e-05,-5.73427568666587e-05,-3.86345936310321e-05,-1.00284258935008e-05,1.02529346785315e-06,-2.95305499844025e-05,-2.60312696561568e-05,-4.44128222475406e-06,1.83731919272205e-05,-3.19839360697529e-06,-5.33315502283399e-06,-2.27665143784303e-05,1.6929960983248e-05,-2.88076778828373e-05,-1.37989633767888e-05,-2.35822093971976e-05,1.52518382883272e-05,1.52330007450791e-05,1.02585398835954e-05,-1.51241808746944e-05,-1.53845727705237e-05,3.05079086527686e-05,-2.21715345848836e-05,8.80370354040998e-06,-1.00973751299688e-05,3.18200116776882e-05,8.72067579877789e-06,-1.05549563232894e-05,-2.79198740403579e-05,-1.28072781597961e-05,8.36613875842248e-06,1.76319367270095e-05,-2.74053102907651e-06,-1.06583975650177e-05,3.72468484859146e-05,3.45825238923027e-06,-1.38348314419495e-06
"2",2.11854174527176e-05,6.67594139936171e-05,4.8771597035272e-05,1.36376597956957e-05,4.62477272913427e-06,2.38436077917337e-05,-1.67551104921034e-05,-1.62169276941289e-05,2.7614390053379e-05,1.96804927042394e-05,1.37267543655448e-05,1.11757654815696e-05,-3.71129104111603e-06,-1.29374617193724e-05,2.6709003610374e-05,-2.50866913518758e-05,-1.58239025545107e-05,-1.57174114413844e-05,-1.37785827739759e-05,-1.22754946317763e-05,4.97009035965975e-06,-3.20807901673324e-05,-2.3774334352335e-05,-5.03396738244597e-07,-8.46996918130681e-08,-2.34044741320165e-06,-1.42043069006675e-07,-2.58330625565278e-05,-1.26068414971026e-05,3.50822383232431e-05,-3.0839025041309e-05,2.10271322271742e-05,-7.7195870663709e-06,3.27662878004159e-06,-2.93649721294713e-06,1.9847533957659e-05,-2.36656455705674e-05,2.8199242857857e-05,8.63939834876985e-06,-2.65379100157635e-06,-5.15030183175212e-06,2.11762413564523e-06,-7.54748667182644e-06,-3.21507931446474e-05,-5.63649631456219e-05,-2.86122328341744e-05,1.31947641214696e-06,-2.40098263093508e-05,1.88766948268428e-05,1.452586765248e-05,-9.93212581801919e-07,4.44482555242728e-05,-3.20506195505419e-05,7.78392934354279e-06,2.11172643402682e-05,-3.69833347549756e-05,-6.53834239477899e-06,5.65638975720137e-06,1.2807030104063e-05,2.58616444968523e-05,1.22122463258564e-08,3.13772392563147e-06,9.49736170388571e-06,-1.16160527096214e-06,-2.54113320153293e-05,-3.24186145528261e-05,-5.1215172712652e-05,2.98724292309599e-05,1.28809032348855e-05,-3.66959496651422e-05,1.42717149534244e-05,2.83212897198506e-05,3.01024655109207e-05,3.88729108612809e-05,1.3543880589689e-05,6.40628410067657e-06,-6.25089072145444e-06,-3.45172967775034e-05,-2.03650447575878e-05,2.55445427849981e-05,4.47920852323612e-05,-1.83989008166653e-05,3.13050775028936e-05,9.18176348843132e-06,-3.57314348692873e-05,2.69048672430975e-05,-3.79539707391108e-06,-3.02362855693743e-05,-2.6906238165035e-05,1.04809046226347e-05,-1.21921912829161e-05,-2.45104270668514e-05
"3",1.07714942173682e-05,4.87715970352727e-05,7.55213836416452e-05,2.79261509476884e-05,3.43486856611786e-05,8.65509541821923e-06,-5.57402318716573e-06,-4.63591739010307e-06,1.19141054053926e-05,2.97046746247776e-05,-6.79132426486475e-07,-2.584302088222e-06,2.49018162066638e-06,-1.65481005217559e-05,1.10904340437333e-05,-2.24364471302392e-05,-6.37384496010317e-06,-6.15802476694505e-06,-4.39525355339618e-06,-1.58754989264416e-05,2.19388431962754e-05,-3.32448819678028e-05,-2.81126615554984e-05,-1.97426937813972e-05,-5.32506987218272e-06,8.0597490458907e-06,-1.94254851253838e-05,-2.21441368734956e-05,-1.4131373431746e-05,1.87250906660165e-05,-2.40838720274405e-05,3.16087097925536e-05,-1.20577704758575e-05,-4.39638837396268e-06,-7.82111597639551e-06,1.57286625031434e-05,-2.81241138759583e-05,1.70896480089527e-05,-1.48011787333676e-05,7.33869905172193e-06,1.11041091952085e-05,9.74422316620766e-06,-1.27424565404172e-05,-2.51424627886949e-05,-4.24694618672119e-05,-5.27680170805423e-05,8.33194579395437e-06,-2.8697528544001e-05,2.83292720382836e-05,-8.62664493864657e-07,1.46506163826659e-05,5.95745239195976e-05,-4.16361281299576e-05,-1.24740561713885e-05,1.75543781177939e-05,-5.8215466699592e-05,-1.79735797392095e-06,-1.10511544603692e-05,1.03089417299182e-05,2.38782751645558e-05,1.71341694401141e-05,9.55274025585382e-06,4.65848648279472e-06,-2.17511684769337e-05,-2.95611900312642e-05,-1.56113800250201e-05,-4.566866947433e-05,2.63195280945452e-05,3.03475407030111e-05,-2.11265974962972e-05,1.0787749666176e-05,2.67697352592524e-05,2.54619518490057e-05,3.70488938638441e-05,2.08545172064509e-05,3.97433057123485e-06,-1.35336901781012e-05,-2.98397097294403e-05,-1.0719300033034e-06,2.04176112467272e-05,4.12818837654509e-05,-2.16842675767087e-05,4.06429620002059e-05,1.56872337005044e-05,-2.11885792297355e-05,3.96365693504826e-05,2.06956176759211e-06,-1.31580391518808e-05,-2.15204523172302e-05,-1.49041767010333e-05,-3.12067998675225e-05,-2.87274597844224e-05
"4",3.72158950559497e-05,1.36376597956909e-05,2.7926150947685e-05,8.92634537629042e-05,7.17950302447233e-05,-1.05149262042192e-05,3.92167874381466e-05,4.04081646099261e-05,-5.25878658519975e-06,-8.41282116065973e-06,-1.8296693055569e-05,-2.20702530635134e-05,4.80302738527494e-05,1.72496002104574e-05,-6.56492683319295e-06,1.15891136073713e-05,3.64940251408035e-05,3.66729251890506e-05,4.03149961304195e-05,2.04041325531034e-05,-1.33884063178233e-05,-6.25343067795899e-06,-1.52924538156787e-05,1.5589027485091e-05,3.28393092848099e-05,-2.57036491065759e-05,1.65503079787114e-05,1.27816143178132e-05,2.30919839399918e-05,-2.27922241626651e-06,1.35973469471224e-06,-1.2328266230169e-05,6.15017617815641e-06,1.56785373296651e-05,3.05006332021067e-05,-1.50223340813429e-05,-1.5461471345138e-05,-9.36646104493948e-06,2.05472554447777e-05,-2.66115642092932e-05,-2.28020934874283e-05,-1.93082518130463e-05,4.38192026860097e-06,4.77155618315691e-07,-4.23219793771977e-05,-3.63154852708069e-05,-2.06697626244222e-05,-1.63030488842952e-05,1.1970665064889e-05,-1.86489749840678e-05,-1.3381046326797e-05,4.66072388114607e-05,-4.146726313664e-05,2.54575238568224e-05,-1.03019408821394e-05,-4.48035149482803e-05,-4.87134764249223e-05,-5.66492628935773e-05,-2.68682217078452e-05,-1.38791853625164e-05,-2.2826443592548e-05,-6.94263177408069e-06,-2.34650645749354e-05,1.2478487964217e-05,1.12056875622536e-06,3.77185063507677e-06,-4.7144446280876e-05,-1.80796289584806e-06,-3.28779142008475e-05,-3.85037745119074e-06,-5.25610257036481e-05,-6.03989718038363e-07,-3.83715169943121e-06,-6.54727665214618e-06,3.11201890967778e-06,-3.06406867596809e-05,5.68105046466082e-06,8.70084395958554e-07,2.13340230600017e-05,-3.9749899970112e-05,1.23477206166213e-05,-5.54106568127189e-06,1.24225344346773e-05,-9.64981731579496e-06,-5.11662423938841e-06,2.49853605439061e-06,4.65573327279699e-05,7.5814125059263e-06,1.43296032567997e-05,1.93133245463575e-05,-1.69756481786321e-06,-1.67779189468442e-05
"5",4.45497240120549e-05,4.62477272913202e-06,3.43486856611764e-05,7.17950302447204e-05,8.05723646728741e-05,-1.56421663801228e-05,2.72692519627495e-05,2.85746384457437e-05,-1.2674929871485e-05,-2.69581205284584e-06,-2.41687257592475e-05,-2.72513552660892e-05,3.73913355299271e-05,8.96833105051897e-06,-1.39837262849049e-05,2.29304275419524e-06,2.38889363745622e-05,2.4124775636042e-05,2.73230533229224e-05,1.0809367551317e-05,-6.34495070177995e-06,-1.22553715455322e-05,-7.66601201950947e-06,6.59236172908514e-06,2.35270190102325e-05,-1.77441463316608e-05,7.45598590611941e-06,4.15403319558338e-06,1.42539963354472e-05,-8.40012495511518e-06,-8.62047749846881e-06,-5.29444954209575e-06,1.52600387737158e-05,2.33835807534966e-05,2.05714251269708e-05,-8.00622551612602e-06,-7.88964256908317e-06,-1.36294120935411e-05,1.25752684196579e-05,-1.95858860874632e-05,-1.50817549165857e-05,-1.27000354028619e-05,1.28605801635442e-05,-9.71892104006256e-06,-2.86381791631202e-05,-3.71105803816845e-05,-1.43958900232026e-05,-8.56469794080387e-06,1.20145203422739e-06,-2.43444991174589e-05,-6.04741580557717e-06,3.49381702992187e-05,-2.55294119695076e-05,1.72710494661015e-05,-3.28387209538708e-06,-4.57787931558312e-05,-5.118929391815e-05,-5.83144058630049e-05,-1.88377433835118e-05,-6.23603805300878e-06,-1.52630518158247e-05,-1.38823157540126e-05,-1.6453657298213e-05,4.12668640213308e-06,-6.88934316031225e-06,1.26225862899091e-05,-3.35310972490262e-05,6.71395074479727e-06,-1.98462767487258e-05,2.96377383989188e-06,-3.88243274636427e-05,7.90833526283605e-06,3.10146317789206e-06,9.95950103797107e-07,-2.59936432967389e-06,-2.35042548079404e-05,1.29549299566196e-05,-6.55809446016938e-06,2.96280084874724e-05,-2.63849743647686e-05,2.06451128935476e-05,2.90725131498503e-06,6.21860150483254e-06,-1.53619023621736e-05,2.32704156957313e-06,1.09959060967886e-05,3.75431258039533e-05,1.59134547905717e-05,6.832353886944e-06,1.13179415968137e-05,-9.78661455193963e-06,-9.06172001604414e-06
"6",4.42284530765682e-06,2.38436077917323e-05,8.65509541821767e-06,-1.05149262042182e-05,-1.56421663801239e-05,3.91912224874011e-05,1.88512951764921e-06,1.21306201845908e-06,3.09133974590156e-05,1.69453934673583e-05,1.69874183402166e-05,1.97655292839493e-05,-2.5135462341518e-05,-2.4579466997342e-05,3.12720662270491e-05,-1.10323097172663e-05,2.36328910370019e-06,2.6962065887766e-06,4.43113330858307e-07,1.04232801922589e-05,-1.03985098226388e-06,-1.14605381241639e-05,-1.2924011688636e-05,1.28236476612834e-05,-1.13751546048334e-05,-3.98638047415889e-06,1.16583858703913e-05,-1.11317875264156e-05,1.08236449589846e-05,1.57520819832222e-05,2.41410194217226e-06,-7.95010576805783e-06,-2.34630425652549e-05,-1.10703251786023e-05,-1.28201462283632e-05,2.78204684762159e-05,-1.32034070540547e-05,-4.37194430181774e-06,-5.53764223270298e-06,-2.84299654968871e-06,-8.92561526575962e-06,1.31216997619723e-05,-1.93311111468229e-05,2.3540271934596e-06,-3.26920664141376e-05,-1.47539730719899e-06,1.28482679566385e-05,-1.2609170103591e-05,2.5265615890435e-05,1.78971204141033e-05,6.85952412841645e-06,1.92061965677997e-05,-6.2667125200441e-06,-8.40984506372292e-06,2.64797233491993e-05,-1.35208066318949e-05,-8.94500204785203e-06,8.0988044728985e-07,9.45002690940336e-06,2.12520532453617e-05,-5.57954946851219e-06,8.35538412643291e-06,1.38539559282288e-05,1.5994355508164e-05,-3.12359739568198e-06,-1.42403367772597e-05,-2.23775038957563e-05,9.38727175766039e-06,-2.37353478412127e-05,-2.41115994384813e-05,1.30383123799486e-05,7.95463762426229e-06,7.69166470056807e-06,5.55616655198307e-06,-4.37256386733397e-06,-3.19550453228755e-06,1.01203654168109e-05,-2.08658114402154e-05,-3.82787601274512e-05,2.22084061189389e-05,2.43038234719099e-05,-4.39995195403088e-06,-4.02882153806193e-06,4.09255057257263e-06,-2.15495036467552e-05,-2.03780680527114e-06,-2.22898164408282e-05,-1.57761631182078e-05,-1.10821626925269e-05,-3.16049556414996e-06,-1.7540258893042e-06,-1.14744997968963e-05
"7",9.18553614116246e-07,-1.6755110492107e-05,-5.57402318716805e-06,3.92167874381435e-05,2.72692519627487e-05,1.88512951764592e-06,5.48347861294606e-05,5.31264458785812e-05,4.93364453642817e-06,4.33379422143526e-06,-7.19941325954343e-06,-8.63143697460373e-06,8.39057326644793e-06,-1.36539526206364e-05,6.04516872373027e-06,2.30424045212196e-05,5.12391406364875e-05,5.10420170279013e-05,5.24956205158299e-05,3.54057388673234e-05,-3.51115632381884e-06,4.67228368739096e-06,-5.76579652118409e-06,2.70813313594324e-05,-2.07740683774181e-06,-1.7525844264471e-05,2.83868683082697e-05,2.48203911593358e-05,3.45483367559441e-05,-2.77493619364737e-05,4.65781568248241e-05,-3.66482326424136e-05,-2.30900013622915e-05,-1.50051700640103e-05,-2.63489458859444e-06,4.61245794649353e-07,-6.36189766473042e-06,-3.5786276421048e-05,-1.15150722289257e-05,-1.75420431264546e-05,-1.28757826879998e-05,-8.258661098735e-06,-2.44971464222435e-05,4.83343169294035e-05,-8.89925285436978e-06,-2.8223767101525e-06,-7.64157290884924e-06,-5.2696063465455e-06,2.54521563581765e-05,-7.40270580140334e-06,-2.30845546166201e-06,8.65488710915615e-06,-9.08139023445262e-06,-7.74033927851361e-06,9.32087541575154e-07,-1.56428089636427e-05,-2.26054551300987e-05,-3.28038231142016e-05,-1.45438292729646e-05,-2.33088164765568e-06,-1.44181968807557e-05,3.93466191693698e-06,-1.24917811325208e-05,2.72271787399652e-05,1.7637477512996e-05,1.73518706267715e-05,-1.64933633463705e-05,-2.82863905769169e-05,-5.09923203829002e-05,6.59363159216859e-06,-3.03614952958977e-05,-2.7553664332566e-05,-2.96849521172788e-05,-3.25188274935807e-05,-2.47719528720508e-05,-2.12572463243489e-05,1.93273079138868e-05,1.16850302270459e-05,-1.18750881973175e-05,-1.47020786274927e-05,-1.68718351377543e-05,5.6501591377197e-06,-1.75191633549296e-05,9.83924995143554e-08,4.4569711497283e-06,-2.59027531497341e-05,7.30212832016255e-06,1.74934319028784e-05,2.39941328660485e-05,-1.20400669971148e-05,1.00410651925028e-05,-6.67939981734906e-06
"8",2.0980745699993e-06,-1.6216927694133e-05,-4.63591739010604e-06,4.04081646099242e-05,2.85746384457432e-05,1.21306201845552e-06,5.31264458785823e-05,5.40878901229496e-05,5.50957873532132e-06,3.92259927788285e-06,-7.31109445532342e-06,-9.60524449181342e-06,9.23870757067745e-06,-1.35987788827834e-05,5.73034805784404e-06,2.32912060511138e-05,5.08562832415521e-05,5.07214533922985e-05,5.25594318151153e-05,3.45983886063744e-05,-3.28233956872272e-06,4.82518326087431e-06,-5.33619398855926e-06,2.70864381312926e-05,-1.03411366512492e-06,-1.73221781414954e-05,2.83781193562744e-05,2.44884321959596e-05,3.51034723077039e-05,-2.81495004126523e-05,4.53703980865628e-05,-3.60805666791028e-05,-2.23657336843594e-05,-1.41867531530724e-05,-3.18814879040852e-06,-7.60001817254215e-07,-6.05490340473165e-06,-3.50526855887983e-05,-1.19040276508685e-05,-1.74008377632449e-05,-1.32824536953892e-05,-7.90588763081696e-06,-2.32926183302551e-05,4.61302103614831e-05,-9.73016953148268e-06,-3.91714555339901e-06,-7.87124049641764e-06,-5.60231719933729e-06,2.50000035383097e-05,-7.68507730103887e-06,-1.92738104147266e-06,9.49268088698438e-06,-9.84461651186174e-06,-7.99279473820346e-06,1.51885835351819e-06,-1.64151764216975e-05,-2.3851714923036e-05,-3.3987929404589e-05,-1.54382348704383e-05,-2.94374018816149e-06,-1.39351797572056e-05,4.03851156363469e-06,-1.21765742387912e-05,2.61935509146586e-05,1.59989832125992e-05,1.63129446729894e-05,-1.71223438055571e-05,-2.74320247253207e-05,-5.12230844386202e-05,6.84777457819231e-06,-3.06598613639528e-05,-2.66147925737525e-05,-2.90591054776401e-05,-3.14736909488131e-05,-2.37871890489426e-05,-2.13015322258373e-05,1.90385016099847e-05,1.13787577646603e-05,-1.07312469136716e-05,-1.52815215719945e-05,-1.56675256402438e-05,5.81941649225599e-06,-1.81538775362118e-05,1.88560941277202e-07,5.16255827850751e-06,-2.5537847255076e-05,8.45401843948765e-06,1.8130135820192e-05,2.42532660295701e-05,-1.25350598397819e-05,9.82269493175204e-06,-6.38003790359736e-06
"9",1.94657324651607e-06,2.76143900533766e-05,1.191410540539e-05,-5.25878658519822e-06,-1.26749298714856e-05,3.09133974590147e-05,4.93364453643147e-06,5.50957873532487e-06,3.57537892407492e-05,1.4186532227621e-05,1.91731225477934e-05,1.86220377677448e-05,-2.01421966802284e-05,-2.91204495627853e-05,3.4227060535039e-05,-5.56582120010994e-06,8.45183202817189e-06,8.54628532120285e-06,7.32159752310036e-06,7.14776404778359e-06,1.40405335716595e-06,-1.60870478071484e-05,-1.23670437930549e-05,1.68505889603119e-05,-1.42576742327092e-05,-8.46646391039933e-06,1.57328996059745e-05,-7.89445388311865e-06,6.85168123117784e-06,1.467083851321e-05,3.70212129937452e-06,-1.05576352507465e-05,-2.30811785997261e-05,-1.36467453384034e-05,-1.96575630607987e-05,2.78553043322881e-05,-1.25137769814451e-05,-3.44547347496751e-06,-9.69954154430313e-06,-6.97708026471044e-06,-8.0410327458105e-06,1.02052405561298e-05,-2.32628679127653e-05,2.52246677039976e-06,-3.28870703196422e-05,-5.92603119645171e-06,9.47510824636334e-06,-1.26418557021552e-05,2.97344287598473e-05,1.97444902937312e-05,9.13497275710141e-06,2.17966955569289e-05,-1.0529435166875e-05,-9.6861262878449e-06,2.82680263224118e-05,-1.73331934966599e-05,-1.00989194142655e-05,-3.27349660954749e-07,7.38238019802392e-06,1.94839824094408e-05,-3.94935527643851e-06,1.18236512972151e-05,1.65056788585253e-05,1.64498359522839e-05,-9.23331355750036e-06,-1.57970699030451e-05,-3.12204630128576e-05,8.86814304875027e-06,-2.49878283179584e-05,-2.23361404720096e-05,9.67429285640712e-06,7.45423214702771e-06,1.07219909644931e-05,7.303000130553e-06,-3.13362712738001e-06,-8.82023817370215e-07,8.18778622931685e-06,-1.89797895839735e-05,-3.48894374399829e-05,1.89773556947396e-05,2.47085111687352e-05,-4.46132630061119e-06,-6.20221139485042e-06,5.6296884207817e-06,-1.91629087246118e-05,-8.66053060888748e-06,-1.98736251990904e-05,-1.38330098234148e-05,-9.72384029545363e-06,-8.30027281806137e-06,1.94653897348331e-06,-1.08303741717951e-05
"10",-1.3582460015469e-06,1.968049270424e-05,2.97046746247783e-05,-8.4128211606591e-06,-2.69581205284644e-06,1.69453934673574e-05,4.33379422143522e-06,3.92259927788327e-06,1.41865322276212e-05,4.3845880075587e-05,1.12391234408532e-06,1.12664503462834e-06,-2.28559807328005e-05,-2.296637274796e-05,1.4734380889211e-05,-7.43411121635478e-06,7.2745153020017e-06,7.02257921286076e-06,4.68281486141372e-06,1.3529162822214e-05,2.18394256116041e-05,-9.84444235779409e-06,-1.62559964625848e-05,-1.12788016969869e-06,-1.09091966382408e-05,1.48752265855905e-05,-1.90110771198304e-06,-9.05741446575569e-06,1.16244998445567e-05,-7.86650417957027e-06,2.72660534333279e-06,1.00081399719597e-05,-2.93715475461626e-05,-1.41953165532277e-05,-1.3175598547678e-05,1.80677105200019e-05,-1.64445923224414e-05,-3.06449249277231e-06,-2.06384084255974e-05,1.66817695473465e-05,1.15595762399476e-05,1.56705302124246e-05,-2.28788742676199e-05,3.94803183404672e-06,-2.04408842384143e-05,-2.23529332458628e-05,1.56868817241262e-05,-1.58803049645808e-05,2.070019498983e-05,1.05793025528309e-06,9.13784755294782e-06,9.99767131310991e-06,-1.55816920392742e-05,-2.86560350846636e-05,1.62223135131348e-05,-3.12656275479162e-05,9.20276125622709e-06,3.84732161093227e-06,1.61000266539857e-05,2.84624352480577e-05,9.40103677361114e-06,4.8591019986882e-06,5.91718023798699e-06,-1.37301753368379e-06,-1.97452259099411e-06,-5.89324181430162e-06,-1.140385903558e-05,-5.18843461989913e-06,4.19254701979517e-06,-1.2984926527834e-05,1.38809694719693e-05,-4.99575946172197e-06,-1.61718693754256e-06,9.64337890022008e-06,-1.29907527634141e-05,7.32243943717767e-06,9.29589157265612e-06,-1.8833441034229e-05,-2.57315781786144e-05,3.11051807069052e-05,9.03028055944916e-06,-9.13345598047163e-06,9.87964619755855e-06,1.8190603244274e-05,-1.20106779345809e-05,1.95716930836069e-05,-2.42457754717906e-05,-5.68396976619874e-06,-1.14026784866285e-05,-2.09020575612229e-05,-1.35218846490888e-05,-1.45780087784603e-05
