"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92"
"1",0.034342536833369,-1.07487708073594e-07,-1.04751284073039e-07,-9.40110085884782e-08,-6.66269747767146e-08,-4.06468374935403e-08,-9.10270147109966e-10,-5.65234857309396e-08,-8.85364469113612e-08,4.36566236237934e-08,-2.10476459509379e-10,1.04769972560679e-08,-1.09033811178277e-07,8.70960081519436e-08,-6.22397965786976e-08,-1.04397840989917e-07,-8.09996943114189e-08,-7.73015827968921e-08,-1.18107741865955e-07,-1.03439462497427e-07,-7.0179310898244e-08,-7.96946346996759e-08,-5.65628393636911e-08,-1.10716748006292e-07,-1.16191849872687e-07,-5.68396871126521e-08,-8.23255755250655e-08,-7.87808318537636e-08,-9.49554387305636e-08,2.74562074015964e-08,1.18859077871314e-07,-7.87361098397868e-09,1.94388549471976e-09,-4.6483460861933e-08,8.58827462577305e-08,-4.50131240716568e-08,2.77273235309707e-08,-2.79190801446323e-08,9.8444914571907e-08,-3.68307617437979e-08,1.17057004829409e-07,-5.95216144071392e-08,-1.02924790025117e-07,1.1932175334657e-07,1.83858322936764e-07,2.77246940388205e-07,-2.23447663066106e-08,5.96749223155357e-08,-7.24192199339332e-08,-8.79548866006285e-08,-7.76361611086082e-08,-7.49693095427703e-08,1.84450303939486e-07,1.66317768574125e-07,-7.35320709634989e-08,2.54785100839827e-07,2.00196985312642e-07,1.96675375104425e-07,-5.17900329000017e-09,6.50392603870958e-08,-9.07257144713768e-08,-9.47991327061189e-08,-7.17153611667137e-08,-6.13315181729447e-08,1.09167857766262e-07,2.40346024944519e-07,1.50809590055651e-07,2.7016028067774e-08,1.74220987370603e-07,-1.66236528852965e-08,2.20607617322524e-07,6.32233155435096e-08,-5.00306208183739e-08,-4.14601620280443e-08,-6.06893533216083e-08,-4.3178049935155e-08,-8.00005963392791e-08,4.93984599204497e-08,-5.21625131145175e-08,1.652823945493e-07,-5.53626132170575e-08,7.32800247878128e-08,2.30085760118947e-07,-5.9198331700643e-08,-6.58638855982799e-08,-2.27583674455093e-08,-6.37743923102121e-08,1.1039798433775e-07,5.85634887788315e-08,-9.04724246698259e-08,-1.12596816581173e-07,-3.98308024352212e-08
"2",-1.07487708073594e-07,0.0343425234004263,-1.3148261111895e-07,-9.44823369713478e-08,-5.25640761197732e-08,-5.69114157781862e-08,5.39510705302845e-10,-5.74881061291354e-08,-9.39127804986787e-08,4.44862754284935e-08,-1.50336461687458e-08,-7.24073068458695e-09,-1.20069967168466e-07,1.08648918233382e-07,-8.6170094914726e-08,-1.16082192474803e-07,-8.91773948161594e-08,-8.35205538395421e-08,-1.31054859991663e-07,-1.13963928351747e-07,-7.46359709553684e-08,-8.45815650321337e-08,-4.77585402795019e-08,-1.15193082853694e-07,-1.29600962715055e-07,-5.58065333265183e-08,-9.04459607017488e-08,-8.67219520894416e-08,-9.49555638833484e-08,2.39780692785428e-08,1.11515888892077e-07,-1.10279428293824e-08,2.23423451388786e-08,-2.87240438040994e-08,1.18835645052089e-07,-7.30028535488724e-08,5.24689102260762e-08,-2.77684900969698e-08,1.62337174560695e-07,-3.4072716666515e-08,1.27886107681569e-07,-8.9196502292376e-08,-1.02102460013043e-07,1.1218389570527e-07,2.09405705981061e-07,3.03456212769137e-07,-4.5820542324979e-08,8.05069791957246e-08,-1.02605446583597e-07,-1.10354112600173e-07,-1.0517305588845e-07,-1.04506689849005e-07,2.64982943863033e-07,2.40670903985228e-07,-8.42468150779876e-08,2.86926134194116e-07,2.14100973847911e-07,1.91789314257733e-07,6.10947117967058e-09,8.38524222911982e-08,-1.07209488887555e-07,-1.17950280924588e-07,-9.80239086207327e-08,-5.42119598756107e-08,1.35152694563718e-07,2.85616953667167e-07,1.84984851860915e-07,9.03963528951157e-09,1.5424495054425e-07,-6.52014949249891e-09,1.63325225048053e-07,3.61008352756708e-08,-7.39131301448774e-08,-6.17925889774522e-08,-8.62090474076751e-08,-5.08010291309705e-08,-6.41352615157871e-08,5.99941619439217e-08,-4.84394828788418e-08,1.66205515465006e-07,-7.11460304525198e-08,8.9431686366522e-08,2.17506219954842e-07,-7.36715188008481e-08,-6.02861030287936e-08,-2.14756903225366e-08,-6.10242472530686e-08,1.36129624114871e-07,7.23315464126191e-08,-8.60336262501049e-08,-1.06083841934369e-07,-3.58636196460194e-08
"3",-1.04751284073039e-07,-1.3148261111895e-07,0.0343425295177892,-9.67445310093299e-08,-5.79536282279605e-08,-6.1937563697657e-08,1.40946150111574e-09,-5.95318947020087e-08,-9.14559049597602e-08,4.67258388353574e-08,-1.50229875294534e-08,-1.03470135127297e-08,-1.18268915312638e-07,1.12433253191492e-07,-8.59271151289921e-08,-1.11961865807203e-07,-8.70843512396449e-08,-8.24479725907746e-08,-1.26652144347363e-07,-1.10049384754165e-07,-7.61602655802209e-08,-8.38122731908233e-08,-4.97572080108327e-08,-1.09853809656726e-07,-1.23455267152731e-07,-5.89484181573958e-08,-8.73450269636483e-08,-8.52901040136396e-08,-9.40253460662491e-08,1.69531380515604e-08,1.19889362162198e-07,-7.5974462151363e-09,1.8931150454381e-08,-2.93693903702979e-08,1.27842736798774e-07,-7.62646117551272e-08,4.76291461921322e-08,-2.82563285508859e-08,1.74240779505501e-07,-3.55812907443783e-08,1.22160303211717e-07,-9.18304661845922e-08,-1.01869504433342e-07,1.2059894679056e-07,2.15557086838661e-07,3.07460483590741e-07,-4.98112615012795e-08,7.83013958494698e-08,-1.04536829897649e-07,-1.06787088299998e-07,-1.07814623435209e-07,-1.09983438576096e-07,2.66476051876028e-07,2.42226344978585e-07,-8.74285737304734e-08,2.88346478865284e-07,2.21112608877526e-07,2.03905977532869e-07,4.03802834704888e-09,8.16160520815175e-08,-1.06714389093667e-07,-1.18755127884515e-07,-9.98927474362696e-08,-5.0412969274325e-08,1.4370309874786e-07,2.83278777956272e-07,1.93517465693635e-07,-1.90332960198521e-09,1.57304034781247e-07,-1.05850036917541e-08,1.47121837130631e-07,2.09683533397598e-08,-7.73626621783219e-08,-6.82802674080373e-08,-9.14652173045637e-08,-4.89515822592928e-08,-6.21280349099106e-08,5.56586628625779e-08,-5.01475653543805e-08,1.74804646872755e-07,-7.67024013187429e-08,8.2226079535362e-08,2.22428531891572e-07,-7.23932396113941e-08,-6.20801438911661e-08,-2.49393441684304e-08,-6.29574590259274e-08,1.30130979145225e-07,6.63125919606356e-08,-8.17575421816421e-08,-1.0247471608938e-07,-3.67730742198178e-08
"4",-9.40110085884783e-08,-9.44823369713479e-08,-9.674453100933e-08,0.0343425364912572,-1.03909010226354e-07,-7.54267834202099e-08,-5.11198815835363e-09,-6.99263626941861e-08,-7.12867034396127e-08,5.10179949752765e-08,-2.36119631710378e-09,1.27750701560395e-08,-1.03945797167691e-07,1.24148407807615e-07,-6.33319238097509e-08,-9.63099188380908e-08,-7.44503851278512e-08,-7.2282590020985e-08,-1.08039946474007e-07,-9.61979151635739e-08,-8.08735638486002e-08,-8.44179667826098e-08,-7.73708053485271e-08,-9.54489856749279e-08,-1.02977691557575e-07,-7.98008637605476e-08,-7.69715609114476e-08,-7.44278127498642e-08,-9.18374714054038e-08,3.24071424027894e-08,1.78892312820028e-07,-5.95617399379445e-10,-3.65021847442166e-08,-3.71036903105971e-08,1.64370237261886e-07,-5.14303687143242e-08,-1.38234388168311e-08,-5.79294069766834e-08,2.12418508552323e-07,-5.60741678566274e-08,4.91664302578617e-08,-5.98087670966399e-08,-9.81949447900425e-08,1.79521037456383e-07,2.59142988277156e-07,2.62619183987599e-07,-2.60470094547628e-08,2.09314963536711e-08,-7.37600079789549e-08,-7.94213694135367e-08,-7.90262296814803e-08,-8.80843981309181e-08,2.13958863419483e-07,1.88402750352488e-07,-7.34598077580873e-08,2.49713100909478e-07,2.62253145461389e-07,2.69514494995859e-07,-3.52147150392099e-08,3.27627799081791e-08,-8.88033121307026e-08,-8.87714358922269e-08,-7.19662914256141e-08,-5.39348470761789e-08,1.8901490758978e-07,2.42468401918311e-07,2.41641127516438e-07,-2.15131096155949e-08,2.47331386565035e-07,-4.78639990060572e-08,1.91200499290646e-07,4.8479708284848e-09,-4.73555273078628e-08,-5.06905929968039e-08,-7.92821058858876e-08,-4.69937098535642e-08,-6.75262794882967e-08,2.57929623209699e-08,-5.76738884236096e-08,1.67695181297795e-07,-7.98457639599094e-08,-3.0844476242149e-10,2.21960078851407e-07,-7.75336619454982e-08,-9.59306235156018e-08,-5.96957166754586e-08,-9.30255010929348e-08,5.07412057462636e-08,-7.19851188330571e-09,-7.04280496694673e-08,-9.00445043162336e-08,-6.76408866869279e-08
"5",-6.66269747767146e-08,-5.25640761197732e-08,-5.79536282279605e-08,-1.03909010226354e-07,0.0343425186523773,-9.69578690993479e-08,-1.21240964921153e-08,-4.78950623162259e-08,-3.76742688384185e-08,4.13709188444053e-08,2.59446709369477e-09,5.36756072402009e-09,-6.36097933808233e-08,1.0229181223779e-07,-2.86910342046239e-08,-5.43715109610464e-08,-3.93150345855435e-08,-3.8654732842901e-08,-6.29950526890525e-08,-5.43032230688156e-08,-5.33601934757191e-08,-5.19110545667333e-08,-7.36876338833583e-08,-5.57648943161279e-08,-5.91438518205798e-08,-7.09272173347967e-08,-4.02445917898018e-08,-3.91834699314954e-08,-5.94605613873791e-08,1.55208271207649e-08,2.04100103720739e-07,-8.51604557569943e-09,-7.67986237632746e-08,-4.198849353113e-08,1.63604787946121e-07,-2.60640756966179e-08,-6.71681288564624e-08,-7.40512011814529e-08,2.16060943935697e-07,-4.96413982081005e-08,-1.75168242054068e-08,-3.93431919724397e-08,-6.77861295896085e-08,2.04857987957159e-07,2.60296551390043e-07,2.03756952432566e-07,-2.78035998982026e-08,-2.099743507203e-08,-3.58382223405254e-08,-4.13194456581468e-08,-4.44920241605444e-08,-5.82477495668496e-08,1.46814977003838e-07,1.23469714879555e-07,-5.80346919441589e-08,1.9607910636837e-07,2.62319827468966e-07,2.71794801963016e-07,-7.72657725050728e-08,-5.38033398050229e-08,-5.76741417886817e-08,-5.24764364026882e-08,-3.958698991807e-08,-2.95246529149802e-08,2.07524169427881e-07,1.69223334401393e-07,2.34343175899421e-07,-6.9752252783647e-08,2.4491258233249e-07,-6.91257873233926e-08,1.28219417067447e-07,-5.33850515240429e-08,-3.6064284963705e-08,-5.40595844166489e-08,-6.35495584668081e-08,-1.42206766207589e-08,-4.21920397670617e-08,3.27863600348875e-09,-3.85012257646755e-08,1.11501488652521e-07,-8.78927455855656e-08,-6.56386611241568e-08,1.69279834960316e-07,-6.02897647502119e-08,-9.86612324681572e-08,-8.61807272388509e-08,-8.80504927995846e-08,-2.2172054086617e-08,-6.09310772806432e-08,-2.84873769462721e-08,-5.28530845694161e-08,-6.72083105367685e-08
"6",-4.06468374935403e-08,-5.69114157781861e-08,-6.19375636976569e-08,-7.54267834202099e-08,-9.69578690993479e-08,0.0343425338881331,2.19874786409926e-09,-1.93021794192781e-08,-4.59321165895659e-08,5.160714487017e-08,-2.05454014914678e-08,-4.30645678441977e-08,-3.94963935870098e-08,1.17566583536856e-07,-5.0386920309132e-08,-3.62402587670107e-08,-1.79696971022716e-08,-1.30863542851504e-08,-3.9473674091844e-08,-3.32012072281244e-08,-3.32221797910275e-08,-3.18263400721114e-08,-4.95288094543503e-08,-3.72019481350932e-08,-4.26068713957868e-08,-4.96371818337149e-08,-1.84097833146317e-08,-1.39118181569687e-08,-3.93856897382816e-08,-4.74604648419474e-08,1.84060508753656e-07,-2.53550999276134e-09,-4.79435295150293e-08,-1.82320363835669e-08,1.56257199638092e-07,-6.44132846342323e-08,-2.89343569854025e-08,-5.88083381820941e-08,2.0638816524124e-07,-3.57395629405195e-08,6.24746483242452e-09,-7.91370895774358e-08,-4.38214604602995e-08,1.84446736322745e-07,2.57961411138803e-07,2.03718672870939e-07,-6.45410558559025e-08,2.59615668776822e-09,-6.2579052097741e-08,-4.63865136004994e-08,-7.60133455514736e-08,-8.35210501649013e-08,1.67461945898048e-07,1.37457851100022e-07,-8.51877187330926e-08,2.01209751037311e-07,2.46008275656638e-07,2.27098804583814e-07,-6.58870100619696e-08,-5.72516189085268e-08,-5.24068008654842e-08,-6.06297313432459e-08,-6.9536371038532e-08,-1.26953815136688e-08,1.92205592388341e-07,1.97451486967832e-07,2.30995500632315e-07,-1.17407785287985e-07,1.56471277469375e-07,-3.86455250299619e-08,-4.13124370803298e-08,-1.0802911199501e-07,-7.39067892308999e-08,-8.98010813334616e-08,-9.45659389755866e-08,-1.59150767544506e-10,-1.69071145229255e-08,2.16199935392958e-08,-1.7525587416944e-08,9.96349197334406e-08,-1.1148229929241e-07,-2.55811374483756e-08,1.42533543311617e-07,-5.42456187976092e-08,-7.31495130643166e-08,-6.37569770575614e-08,-6.13236271154203e-08,1.51747895057088e-08,-2.7926662373942e-08,-1.65100608689112e-08,-3.35994746682265e-08,-4.57007017585097e-08
"7",-9.10270147109958e-10,5.39510705302852e-10,1.40946150111574e-09,-5.11198815835364e-09,-1.21240964921153e-08,2.19874786409926e-09,0.0343424150966397,-7.78067039851738e-08,-3.62736743790383e-09,-2.62545893706047e-07,-1.17691356147636e-08,-9.15407152389195e-08,-5.19211551804428e-09,7.7004672124137e-08,-2.03990764640812e-08,-1.93704402491199e-08,-4.78828229173316e-08,-5.68825178290171e-08,-1.34110893263793e-08,-1.95243320006947e-08,-2.32274897243544e-08,-2.91911810841398e-08,2.35243948656354e-09,-1.24071783419741e-08,-8.4570658616237e-09,5.44348873698358e-09,-4.10943130730704e-08,-4.77575553092003e-08,-1.81282563911404e-08,5.08086519049472e-08,-2.87591104460096e-07,3.1053473165642e-08,1.29952220700757e-08,1.49213694931884e-08,8.67816219182197e-08,-6.83045844129745e-09,3.47244420050033e-08,1.75089780954736e-08,1.21922806561634e-07,7.77009906123645e-10,4.9949374693368e-08,1.54113119855918e-08,1.5156031164085e-09,-2.8903607948666e-07,5.13188165772229e-08,1.09786768937583e-07,-1.45803024041844e-08,1.08233326482287e-09,1.08661135299506e-10,-6.96823935042208e-09,1.42939018074244e-08,1.10350772746366e-08,-3.54222874687127e-08,1.98985639608404e-07,1.20267196570033e-08,1.51782867305906e-07,-1.19863448644193e-07,-9.03111967488764e-09,-4.23288495895909e-08,7.75790064229928e-08,4.19582573538479e-09,-1.79941572971475e-10,8.87299982166928e-09,-8.45935732034557e-08,-2.65036214913551e-07,6.20164957765279e-08,1.2310240266608e-07,2.38310748819553e-08,1.48805746212103e-07,-2.48533631713413e-08,1.81729945881823e-07,4.55627893882321e-08,1.91735335755245e-08,1.38874002191399e-08,1.25051977923724e-08,-3.8902994895066e-09,-3.54206650226429e-08,-1.77156941766433e-09,2.64110551172867e-08,1.57775083441926e-07,6.19758464014489e-09,-1.08619954163002e-08,2.12468887452778e-07,1.28358791181079e-08,-8.07891375329323e-10,8.24044034411867e-09,7.46596700191959e-09,5.59371798576062e-08,2.52946088034429e-08,1.97715396379822e-08,-7.04902143004743e-09,-1.12653077843205e-08
"8",-5.65234857309396e-08,-5.74881061291354e-08,-5.95318947020087e-08,-6.99263626941861e-08,-4.78950623162259e-08,-1.93021794192781e-08,-7.78067039851738e-08,0.0343425493622572,-5.28787458562151e-08,-4.43979497048876e-08,-2.56774649637441e-08,-4.26813325896799e-08,-6.71785704440655e-08,1.20809033348381e-07,-6.49856385289676e-08,-7.28820424280122e-08,-9.26996946302345e-08,-1.00490406524413e-07,-7.27710746893706e-08,-7.3185434300603e-08,-7.21382584472975e-08,-7.7654178907786e-08,-4.61680963485714e-08,-6.61936939467887e-08,-6.54020426942219e-08,-4.62206218012139e-08,-8.69591760276103e-08,-9.34721490075639e-08,-6.97100343984688e-08,7.17034311734264e-08,-1.65266960135547e-08,1.80970721908543e-08,1.55205132216175e-08,-7.57815368593206e-09,1.49555484831221e-07,-4.84113525916939e-08,4.1456170724343e-08,-1.12535564560485e-08,1.71946967227599e-07,-3.81239687291573e-08,7.35829403772379e-08,-2.89018226366896e-08,-5.93143561170768e-08,-1.70678609221593e-08,1.18590822380139e-07,1.61023964259506e-07,-2.58161584470175e-08,2.19633412976992e-08,-5.35001354830285e-08,-5.96023306366034e-08,-4.38208294337147e-08,-5.01169140335696e-08,7.77009677884624e-08,2.31405730691543e-07,-3.87323759750109e-08,2.07963515892042e-07,9.78559167744402e-08,1.10295306102971e-07,-2.91998050227646e-08,1.00979154871564e-07,-5.54861832548967e-08,-5.87079348551256e-08,-4.40258431198655e-08,-1.00706478930262e-07,7.02681172216e-09,1.30119741522303e-07,1.87541750863786e-07,3.93236968633867e-08,2.04554783615185e-07,-4.26224051256627e-08,2.04944390358067e-07,6.40659678780378e-08,-1.66614399373094e-08,-1.46126462111394e-08,-3.77600935712315e-08,-4.8964243031501e-08,-7.32795228216032e-08,2.36226493596021e-08,-2.48034101460485e-08,1.73769145081661e-07,-3.00118303673569e-08,1.26992502719285e-08,2.53901813143152e-07,-4.33142838686405e-08,-5.04572352309895e-08,-1.14960545352086e-08,-4.8627520922359e-08,8.17356612363498e-08,3.99251613287016e-08,-4.09138190240428e-08,-6.16242157332547e-08,-4.802861834089e-08
"9",-8.85364469113611e-08,-9.39127804986787e-08,-9.14559049597603e-08,-7.12867034396127e-08,-3.76742688384185e-08,-4.59321165895659e-08,-3.62736743790383e-09,-5.28787458562151e-08,0.0343425725673051,3.18050578036825e-08,-1.39996472473256e-08,-1.95741811544826e-08,-8.44582517978164e-08,1.01875492159332e-07,-7.18750070089881e-08,-9.06880897738692e-08,-7.45375648883085e-08,-7.03733391981005e-08,-9.2519023322409e-08,-8.77100118346579e-08,-6.60872827050759e-08,-7.37362903298295e-08,-4.30354595343016e-08,-9.13308572203142e-08,-9.22189601281509e-08,-4.42406599975083e-08,-7.44637825366891e-08,-7.02895961597583e-08,-8.14707503635977e-08,1.57618951440783e-08,8.24009335934053e-08,5.67982851859015e-09,2.05489713591654e-08,-1.52180232791124e-08,1.07443281471734e-07,-6.37970412985791e-08,4.89131440720744e-08,-1.70614207979672e-08,1.20905215289368e-07,-3.57200236439543e-08,8.82448404371952e-08,-6.17284634104851e-08,-7.72016061290536e-08,8.24969917297954e-08,1.7026077831593e-07,2.20822429884004e-07,-3.76926755166691e-08,5.36135458492225e-08,-7.96090741853351e-08,-8.56623566405437e-08,-7.71406288750988e-08,-7.33463094631216e-08,1.62330634612673e-07,1.77456454188134e-07,-7.14239683173499e-08,2.25998304550877e-07,1.74088475645455e-07,1.56694641886212e-07,-1.04283730972058e-08,5.19304008522542e-08,-7.88850201700415e-08,-8.70626409978025e-08,-7.51765440881656e-08,-5.99232392665755e-08,8.7597966317069e-08,2.19806325304376e-07,1.69279659910881e-07,1.16581922320649e-08,1.54553568385169e-07,-1.21655564760331e-08,1.28028500159175e-07,3.73527267389235e-08,-5.12829801277768e-08,-4.55718798155218e-08,-6.24144650460702e-08,-3.98037138456294e-08,-6.21549292224897e-08,5.1700358749376e-08,-2.72293177115371e-08,1.48853637352689e-07,-5.36481266988825e-08,5.70618652162812e-08,2.14689169055841e-07,-5.52856508231232e-08,-4.91198607734996e-08,-8.551689041394e-09,-4.48025753435926e-08,9.94560710300845e-08,5.5528509162762e-08,-6.9287718901428e-08,-9.2031938566403e-08,-3.8311353563823e-08
"10",4.36566236237934e-08,4.44862754284935e-08,4.67258388353574e-08,5.10179949752765e-08,4.13709188444053e-08,5.160714487017e-08,-2.62545893706046e-07,-4.43979497048876e-08,3.18050578036825e-08,0.0343422631659184,2.28405228715477e-08,-8.76208617746982e-08,4.6429064271839e-08,-1.14809515953265e-08,1.05501584489778e-08,2.42293347190476e-08,-1.2818679777628e-08,-2.34308541783882e-08,3.64609913892328e-08,2.44123256017284e-08,1.5886165937236e-08,1.08657857199658e-08,5.38994107023552e-08,3.52108788613863e-08,3.7709962812524e-08,5.62222594343763e-08,-1.37573929444041e-09,-1.09407140187409e-08,2.32008673858754e-08,3.51018087124399e-08,-4.51868101269385e-07,8.14511718142418e-08,5.46105744381002e-08,6.81654648806288e-08,-7.82828301674391e-09,2.54617157422183e-08,3.65704461386543e-08,6.7907308067866e-08,5.15083922792258e-08,4.11583395419842e-08,-3.72216072405634e-08,5.27389106225224e-08,5.05917666445763e-08,-4.53410786508664e-07,-4.16725786905955e-08,1.46236621606028e-08,1.00757895607809e-08,-6.99452108971464e-09,3.50740109127635e-08,3.02926863153607e-08,5.29795062153032e-08,5.79017499590261e-08,-1.23923636907868e-07,1.14232092924873e-07,5.3057570467436e-08,6.85860660563845e-08,-2.32432551944092e-07,-1.08229305629062e-07,-1.99043676934654e-08,-2.07952442036901e-08,4.84506900784007e-08,4.25478011453719e-08,4.6187620979559e-08,-5.63405934550884e-08,-4.26695370143756e-07,-2.83040434490092e-08,5.52324554163786e-08,1.00324146217518e-08,7.77136399284314e-08,1.69549954467998e-08,7.25769135525912e-08,-5.66208638673626e-09,5.99389995932778e-08,5.85442333389154e-08,5.81570393573265e-08,3.10708692480712e-08,-3.42350483306662e-09,1.38328110544468e-09,8.03450728031337e-08,6.28133000796174e-08,5.41697630492407e-08,-8.24491131022755e-08,1.31472449088109e-07,5.56071592666633e-08,4.96928044254749e-08,5.75303739253051e-08,6.3880693388932e-08,-2.15995290101129e-08,-7.83550766572301e-09,7.0984359919341e-08,3.92810864444186e-08,3.35447428714442e-08
