"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119"
"1",1.01077778287392,5.0961359793496e-09,5.09613634058962e-09,5.09614277554205e-09,5.09614277223959e-09,5.0961427763858e-09,5.09614277215499e-09,5.09614277104697e-09,5.09614277141073e-09,5.09614277218676e-09,5.09614277376075e-09,5.09614277141383e-09,5.09614277094321e-09,5.09614277094734e-09,5.09614277392476e-09,5.09614277378662e-09,5.09614277057496e-09,5.09614277164e-09,5.09614235856518e-09,5.09614277168955e-09,5.09614277131664e-09,5.09614246325488e-09,5.0961427720849e-09,5.09614245489996e-09,5.09614277173254e-09,5.09614277129419e-09,5.09614277487314e-09,5.09614277183163e-09,5.09614244838456e-09,5.09614244577264e-09,5.09614241955308e-09,5.09614277176102e-09,5.09614277517684e-09,5.09614277142178e-09,5.0961427723592e-09,5.09614277146804e-09,5.09614277222837e-09,5.09614277204847e-09,5.0961427752293e-09,5.09614277040841e-09,5.09614277393484e-09,5.09614233118357e-09,5.09614233055877e-09,5.09614277116661e-09,5.09614277261347e-09,5.09614277240404e-09,5.09614277219522e-09,5.09614277150309e-09,5.09614277181247e-09,5.09614246409842e-09,5.09614277175498e-09,5.09614245401637e-09,5.09614277181575e-09,5.09614277196526e-09,5.09614277153105e-09,5.09614277169558e-09,5.09614277180919e-09,-7.115826861455e-05,5.09614277593077e-09,5.09614277191105e-09,5.09614277255145e-09,-0.997888883792759,5.09614277179797e-09,5.09614277196716e-09,0.0021111162072482,5.09614277191433e-09,5.09614277190967e-09,5.0961427719606e-09,5.09614277190639e-09,5.09614246369133e-09,5.09614277193021e-09,5.09614277193677e-09,5.09614277191899e-09,5.09614277187134e-09,5.09614277194471e-09,5.09614277244846e-09,5.09614245754883e-09,5.09614277196992e-09,5.09614277226058e-09,5.09614277319303e-09,5.09614277194471e-09,5.09614277196526e-09,5.09614277191899e-09,5.09614277186012e-09,5.09614239080516e-09,5.09614277113179e-09,5.09614276717342e-09,5.09614277192555e-09,5.09614277189517e-09,5.09614277322594e-09,5.0961427719877e-09,5.09614277193349e-09,5.09614277296553e-09,5.09614277217371e-09,5.09614277106685e-09,5.09614277183768e-09,5.09614277191761e-09,5.09614277108602e-09,5.09614277166191e-09,5.0961424606055e-09,5.0961427718489e-09,5.0961427694335e-09,5.09614277186012e-09,5.09614245715831e-09,5.09614245631496e-09,5.09614276815352e-09,5.09614277199527e-09,5.09614277211491e-09,5.09614277247604e-09,5.09614277197976e-09,5.09614277213538e-09,5.09614277230457e-09,5.09614232777576e-09,5.09614277401268e-09,5.09614233043585e-09,5.09614277234911e-09,5.09614277199564e-09,5.09614277201153e-09,5.09614277191761e-09
"2",5.096135979348e-09,1.00900000509615,5.0961426488741e-09,5.09614235459022e-09,5.09614270861369e-09,5.09614228848449e-09,5.09614147985699e-09,5.09614212477082e-09,5.09614244448633e-09,5.09614285015767e-09,5.09614360625506e-09,5.09614298173872e-09,5.09614254856301e-09,5.09614407160014e-09,5.09614284151444e-09,5.0961414358166e-09,5.09614250699508e-09,5.09614270888146e-09,0.000333338429476465,5.09614227403041e-09,5.09614245680636e-09,0.000333338429476154,5.09614223300925e-09,0.000333338429477933,5.09614268100158e-09,5.09614284197384e-09,5.09614227190141e-09,5.09614298600544e-09,0.000333338429475199,0.000333338429476313,0.000333338429473442,5.09614269344419e-09,5.09614316195563e-09,5.09614271102138e-09,5.096142721554e-09,5.09614270084904e-09,5.0961427076809e-09,5.09614271034703e-09,5.09614263503162e-09,5.09614397510932e-09,5.09614205276743e-09,0.000333338429475663,0.00033333842947491,5.09614270485731e-09,5.0961426024647e-09,5.09614275580541e-09,5.09614270968063e-09,5.0961427084735e-09,5.0961427104905e-09,0.000333338429476512,5.09614270639436e-09,0.000333338429476404,5.09614270252489e-09,5.09614270980303e-09,5.0961431983169e-09,5.09614277718757e-09,5.0961427093217e-09,-7.11582686145543e-05,5.09614301577306e-09,5.09614271172749e-09,5.09614256591928e-09,5.09616892926548e-09,5.09614270950022e-09,5.09614270836836e-09,5.09613234767112e-09,5.09614270923711e-09,5.09614270543774e-09,5.09614271036758e-09,5.09614270535314e-09,0.000333338429476559,5.09614270862958e-09,5.09614270958481e-09,5.09614270696495e-09,5.09614270797439e-09,5.09614270425306e-09,5.09614269291189e-09,0.000333338429476546,5.09614270891323e-09,5.09614264821751e-09,5.0961426992401e-09,5.09614270560831e-09,5.09614270877304e-09,5.09614270555548e-09,5.09614270845106e-09,0.000333338429477913,5.09614301471458e-09,5.09614242352521e-09,5.09614271090174e-09,5.09614270778138e-09,5.09614182665289e-09,5.0961427115602e-09,5.09614271063863e-09,5.09614233710592e-09,5.09614270274733e-09,5.09614284955276e-09,5.09614270842862e-09,5.0961427076683e-09,5.0961427652752e-09,5.09614284131157e-09,0.000333338429476684,5.09614270749116e-09,5.09614228714293e-09,5.09614270855948e-09,0.000333338429476359,0.00033333842947492,5.09614263942128e-09,5.09614269370554e-09,5.09614273385935e-09,5.09614279951655e-09,5.09614271217568e-09,5.09614279486619e-09,5.09614262790561e-09,-0.999666661570514,5.09614216983069e-09,0.000333338429475752,5.09614282942202e-09,5.09614270999605e-09,5.09614270843984e-09,5.0961427071804e-09
"3",5.09613634037038e-09,5.09614264898172e-09,0.0150000050961428,5.09614276966008e-09,5.096142771616e-09,5.0961429768004e-09,5.09614277239876e-09,5.09614276898681e-09,5.09614210541226e-09,5.09614276757873e-09,5.09614276733668e-09,5.09614277366338e-09,5.09614276939804e-09,5.09614229644608e-09,5.09614276920831e-09,5.09614327260076e-09,5.09614278114575e-09,5.09614276819748e-09,5.09614398541036e-09,5.09614277242121e-09,5.09614277212961e-09,5.09614367249249e-09,5.09614277403629e-09,5.09614057603163e-09,5.0961427724642e-09,5.09614277329979e-09,5.09614327241333e-09,5.09614277193987e-09,5.096143304362e-09,5.09614272720424e-09,5.09614277915565e-09,5.09614277027007e-09,5.09614275089054e-09,5.09614277174686e-09,5.0961427014522e-09,5.09614277171181e-09,5.09614277030373e-09,5.09614277278013e-09,5.09614288543827e-09,5.09614228566145e-09,5.09614310065898e-09,5.09614309096517e-09,5.09614229667728e-09,5.09614277406667e-09,5.09614285292556e-09,5.09614265056665e-09,5.09614277227636e-09,5.09614277201791e-09,5.09614277200203e-09,5.09614374253523e-09,5.09614277292032e-09,5.09614494106755e-09,5.09614277154452e-09,5.09614277085377e-09,5.09614404601052e-09,5.09614249405833e-09,5.09614277221559e-09,-7.11582686145538e-05,5.09614247877788e-09,5.09614277185666e-09,5.09614282570428e-09,5.09613549993453e-09,5.096142771852e-09,5.09614277134356e-09,5.09615657070937e-09,5.09614277175152e-09,5.09614277220765e-09,5.09614277160805e-09,5.09614277144542e-09,5.09614390348453e-09,5.0961427717403e-09,5.09614277171975e-09,5.09614277197302e-09,5.09614277157301e-09,5.09614277210717e-09,5.09614284059039e-09,5.09614139126292e-09,5.09614277093975e-09,5.09614289051975e-09,5.09614267363598e-09,5.09614277110428e-09,5.09614277134167e-09,5.09614277164776e-09,5.09614277177863e-09,5.09614139190241e-09,5.09614262920955e-09,5.09614275738832e-09,5.09614277146459e-09,5.09614277175946e-09,5.09614197576796e-09,5.09614277147253e-09,5.09614277139121e-09,5.0961422642848e-09,5.0961427971915e-09,5.09614299248787e-09,5.09614277153934e-09,5.09614277167349e-09,5.09614310434248e-09,5.09614271284377e-09,5.09614164544792e-09,5.09614277198425e-09,5.09614336785871e-09,5.09614277142626e-09,5.09614129155948e-09,5.0961441864304e-09,5.09614281870427e-09,5.09614278427368e-09,5.09614275872484e-09,5.09614278857627e-09,5.0961427715188e-09,5.09614272941764e-09,5.09614278873006e-09,5.09614324522746e-09,5.09614239036757e-09,5.09614184923964e-09,5.09614271634989e-09,5.09614277158889e-09,5.09614277146925e-09,5.09614277167349e-09
"4",5.09614277555798e-09,5.09614235455354e-09,5.09614276935314e-09,0.0150000050961428,5.09614277734918e-09,5.09614382192291e-09,5.09614277485224e-09,5.09614277306659e-09,5.09614308462347e-09,5.09614277155008e-09,5.09614277239224e-09,5.09614277281004e-09,5.09614277483308e-09,5.0961418556235e-09,5.09614277187863e-09,5.09614303116296e-09,5.09614277389562e-09,5.09614278095088e-09,5.09614381032573e-09,5.09614276877605e-09,5.09614277417651e-09,5.09614252447194e-09,5.09614277464662e-09,5.09614217185573e-09,5.09614277789923e-09,5.09614277212119e-09,5.09614320612839e-09,5.09614277133048e-09,5.09614254819922e-09,5.09614228979689e-09,5.09614270251658e-09,5.09614277662667e-09,5.09614327134871e-09,5.09614277439007e-09,5.09614272485789e-09,5.09614277611685e-09,5.09614277153748e-09,5.09614277176416e-09,5.09614253257159e-09,5.09614329070378e-09,5.0961429434908e-09,5.09614331993558e-09,5.09614320319273e-09,5.0961427719665e-09,5.09614287402732e-09,5.09614295074204e-09,5.09614277426905e-09,5.09614277249272e-09,5.09614277589207e-09,5.09614280582568e-09,5.09614277236513e-09,5.09614365220914e-09,5.09614277044723e-09,5.09614277262962e-09,5.09614267949613e-09,5.09614262604686e-09,5.09614277038646e-09,-7.11582686146203e-05,5.09614236413752e-09,5.0961427751775e-09,5.09614294319161e-09,5.09614276987648e-09,5.09614277273338e-09,5.09614277233337e-09,5.09614277978018e-09,5.09614277217212e-09,5.09614277357692e-09,5.09614277723282e-09,5.09614277538968e-09,5.09614344173685e-09,5.09614277229642e-09,5.09614277409192e-09,5.09614277437229e-09,5.09614277494806e-09,5.09614277409986e-09,5.09614282401612e-09,5.09614233176812e-09,5.09614277287823e-09,5.09614259376053e-09,5.09614224422463e-09,5.09614277355776e-09,5.09614277425593e-09,5.09614277640517e-09,5.09614277360869e-09,5.09614176973379e-09,5.09614239373486e-09,5.09614280155648e-09,5.09614277448727e-09,5.09614277456531e-09,5.09614247988178e-09,5.09614277473916e-09,5.09614277278759e-09,5.09614251483084e-09,5.09614270529228e-09,5.09614261118798e-09,5.09614277369466e-09,5.0961427738017e-09,5.09614246611379e-09,5.09614257790172e-09,5.09614313366494e-09,5.09614277384141e-09,5.0961431054687e-09,5.09614277447605e-09,5.09614260673784e-09,5.09614376729186e-09,5.09614283340923e-09,5.09614295987425e-09,5.09614258960332e-09,5.09614320272841e-09,5.09614277310491e-09,5.09614290217217e-09,5.09614271203678e-09,5.09614144064118e-09,5.09614253758914e-09,5.09614281058863e-09,5.09614260729317e-09,5.09614277485552e-09,5.09614277367878e-09,5.09614277466906e-09
"5",5.09614277225392e-09,5.09614270860251e-09,5.09614277155141e-09,5.09614277723917e-09,0.0150000050961428,5.09614285907282e-09,5.09614276900031e-09,5.09614277290671e-09,5.09614280804626e-09,5.09614277263705e-09,5.0961427724221e-09,5.09614277330069e-09,5.09614276919798e-09,5.09614270119553e-09,5.09614277274875e-09,5.09614278724733e-09,5.09614277191971e-09,5.0961427759121e-09,5.09614283991334e-09,5.09614277045932e-09,5.0961427727427e-09,5.09614274191144e-09,5.09614277356518e-09,5.09614276212525e-09,5.09614277196598e-09,5.09614277244921e-09,5.09614279605879e-09,5.0961427695443e-09,5.09614274712597e-09,5.0961427330486e-09,5.09614276518623e-09,5.09614277310577e-09,5.09614281389946e-09,5.0961427742302e-09,5.09614276278062e-09,5.09614277368016e-09,5.09614277191971e-09,5.09614277190244e-09,5.09614275396843e-09,5.09614282368645e-09,5.09614278170348e-09,5.09614280841176e-09,5.09614281908977e-09,5.09614277316188e-09,5.09614278284867e-09,5.09614278293741e-09,5.09614277269971e-09,5.09614276981208e-09,5.09614277237117e-09,5.09614276712242e-09,5.09614277475314e-09,5.09614281477414e-09,5.09614277703652e-09,5.09614277068082e-09,5.09614274476786e-09,5.09614275704834e-09,5.09614277122948e-09,-7.1158268613751e-05,5.09614274041265e-09,5.0961427732287e-09,5.09614278668978e-09,5.0961427712616e-09,5.09614277346798e-09,5.09614277363717e-09,5.09614277276273e-09,5.09614277290671e-09,5.0961427737152e-09,5.09614277132668e-09,5.09614276858907e-09,5.09614280973105e-09,5.09614276983262e-09,5.09614277176364e-09,5.09614277217954e-09,5.09614277145426e-09,5.09614277225947e-09,5.09614278200604e-09,5.09614275745576e-09,5.0961427729352e-09,5.09614275549915e-09,5.09614272688709e-09,5.0961427729371e-09,5.09614277222581e-09,5.09614277204401e-09,5.09614277277119e-09,5.09614271461874e-09,5.09614274228151e-09,5.09614277483365e-09,5.09614277299925e-09,5.09614277193887e-09,5.09614276641206e-09,5.09614277181457e-09,5.09614277273614e-09,5.0961427583183e-09,5.09614276381485e-09,5.09614275517279e-09,5.09614277367032e-09,5.09614277301841e-09,5.09614273947102e-09,5.09614276064676e-09,5.09614282057722e-09,5.09614277148603e-09,5.09614279270624e-09,5.09614277266277e-09,5.09614279089234e-09,5.09614283512469e-09,5.09614277914767e-09,5.09614278363994e-09,5.09614276145212e-09,5.09614280642817e-09,5.09614277215899e-09,5.09614278220796e-09,5.09614276462334e-09,5.09614265161645e-09,5.09614276242832e-09,5.0961427924581e-09,5.09614275797293e-09,5.09614277222909e-09,5.09614277254313e-09,5.09614277288289e-09
"6",5.09614277637542e-09,5.0961422884486e-09,5.0961429767382e-09,5.0961438218966e-09,5.09614285921074e-09,1.00972222731837,5.09614406367476e-09,5.09614299077868e-09,-0.998944439348305,5.09614278657058e-09,5.09614263142315e-09,5.09614276777279e-09,5.09614340882459e-09,0.00105556065169928,5.09614317379667e-09,5.09614210707464e-09,5.09614233122017e-09,5.09614329689988e-09,5.09614264711662e-09,5.09614274563262e-09,5.09614221110041e-09,5.09614294967322e-09,5.09614253024464e-09,5.09614332799901e-09,5.09614256927592e-09,5.09614323957925e-09,5.09613968152695e-09,5.09614359500317e-09,5.09614156258242e-09,5.09614211586806e-09,5.09614265397573e-09,5.09614278519616e-09,5.09614426746375e-09,5.0961429928611e-09,5.09614343325278e-09,5.09614265225105e-09,5.09614277764041e-09,5.09614295605572e-09,5.096145878993e-09,5.09614523853148e-09,5.09614633135583e-09,5.09614329546402e-09,5.09614190340125e-09,5.09614285954723e-09,5.09614264583416e-09,5.09614332742527e-09,5.09614285857006e-09,5.09614286083238e-09,5.0961428602744e-09,5.09614306999584e-09,5.09614285788588e-09,5.09614250474807e-09,5.09614286046742e-09,5.09614285758116e-09,0.00105556065169804,0.00105556065169938,5.09614285989165e-09,-7.11582686145538e-05,5.09614062033815e-09,5.096142857283e-09,5.09614263205699e-09,5.09614277077524e-09,5.09614285906728e-09,5.09614285823358e-09,5.09614276734325e-09,5.09614285780128e-09,5.09614285996502e-09,5.09614285950096e-09,5.0961428576036e-09,5.09614264398518e-09,5.09614286172029e-09,5.09614285915187e-09,5.09614285804989e-09,5.09614285957433e-09,5.09614286100296e-09,5.09614200769749e-09,5.09614196951337e-09,5.09614285867002e-09,5.09614238912167e-09,5.0961428645552e-09,5.09614285948507e-09,5.09614285858405e-09,5.09614286057066e-09,5.09614285977995e-09,5.09614305917972e-09,5.09614052373436e-09,5.09614216873907e-09,5.09614285767698e-09,5.09614285859527e-09,5.09614391344529e-09,5.0961428575765e-09,5.09614285719703e-09,5.09614384216964e-09,5.09614238361379e-09,5.09614156285009e-09,5.09614285623385e-09,5.09614286065059e-09,5.09614148155409e-09,0.00105556065169952,5.09614265209374e-09,5.09614285884716e-09,5.096143377933e-09,5.09614285948179e-09,5.09614289516702e-09,5.09614205447356e-09,5.09614423848533e-09,5.09614255083617e-09,5.0961431655087e-09,5.09614299624641e-09,5.09614285748724e-09,5.09614230930762e-09,5.09614356482029e-09,5.09614529577024e-09,5.09613827757336e-09,5.09614209840762e-09,5.09614300587729e-09,5.09614285766576e-09,5.09614285835927e-09,5.09614285932244e-09
"7",5.09614277213982e-09,5.09614147987052e-09,5.0961427724402e-09,5.09614277473983e-09,5.09614276910633e-09,5.09614406353445e-09,0.0150000050961428,5.09614276997369e-09,5.09614216006715e-09,5.09614277363426e-09,5.09614277314826e-09,5.09614277120792e-09,5.0961427739628e-09,5.09614227051765e-09,5.09614277320386e-09,5.09614319137802e-09,5.09614277020642e-09,5.09614277194908e-09,5.09614242530875e-09,5.09614277413993e-09,5.0961427731436e-09,5.09614273651186e-09,5.09614276849086e-09,5.09614221516669e-09,5.09614277152662e-09,5.09614277276879e-09,5.09614280250411e-09,5.09614277273703e-09,5.09614293883434e-09,5.09614054710161e-09,5.09614563641895e-09,5.09614276960355e-09,5.09614242371653e-09,5.09614276986061e-09,5.09614241995021e-09,5.09614277090977e-09,5.09614277104667e-09,5.09614277550174e-09,5.09614270674575e-09,5.0961431831209e-09,5.09614260334655e-09,5.09613939387397e-09,5.09614462793989e-09,5.09614277087938e-09,5.09614307256892e-09,5.09614301806808e-09,5.0961427730464e-09,5.09614277159533e-09,5.0961427712813e-09,5.09614300415045e-09,5.09614277599429e-09,5.09614324262175e-09,5.0961427714472e-09,5.09614277116304e-09,5.0961424590478e-09,5.09614288299986e-09,5.09614277287721e-09,-7.1158268614552e-05,5.09614200363739e-09,5.09614277216592e-09,5.09614316244148e-09,5.09614277141855e-09,5.09614277164626e-09,5.09614277230335e-09,5.09614277121207e-09,5.09614277252157e-09,5.09614277200191e-09,5.09614277267626e-09,5.09614277332678e-09,5.09614251184083e-09,5.09614277015221e-09,5.09614277265243e-09,5.09614277352912e-09,5.09614277231595e-09,5.09614277355484e-09,5.09614312574666e-09,5.09614261129963e-09,5.09614277265848e-09,5.09614253030468e-09,5.09614235421402e-09,5.09614277320247e-09,5.09614277373802e-09,5.09614277203834e-09,5.09614277094947e-09,5.0961420760993e-09,5.09614292463864e-09,5.09614283730513e-09,5.09614277201779e-09,5.09614277290898e-09,5.09614282720303e-09,5.09614277134811e-09,5.09614277267626e-09,5.09614235515205e-09,5.09614268786081e-09,5.09614286131051e-09,5.09614277312254e-09,5.09614277339221e-09,5.09614292201789e-09,5.09614279907605e-09,5.09614347369493e-09,5.09614277299824e-09,5.09614262226398e-09,5.09614277287393e-09,5.09614295514329e-09,5.09614313769274e-09,5.09614289423005e-09,5.09614247477217e-09,5.09614307196195e-09,5.09614288784608e-09,5.09614277307489e-09,5.09614271677068e-09,5.09614291510493e-09,5.09614427265565e-09,5.09614319721482e-09,5.09614337564478e-09,5.09614238651959e-09,5.09614277265709e-09,5.09614277286271e-09,5.0961427722538e-09
"8",5.09614277103419e-09,5.09614212478675e-09,5.09614276889511e-09,5.0961427731463e-09,5.09614277279829e-09,5.09614299083049e-09,5.09614277024714e-09,0.0150000050961428,5.09614218360002e-09,5.09614276404474e-09,5.09614276881713e-09,5.09614277010229e-09,5.09614277437505e-09,5.09614248318958e-09,5.09614276578275e-09,5.09614226647793e-09,5.09614277172997e-09,5.09614277268659e-09,5.09614292182481e-09,5.09614277607006e-09,5.09614276940878e-09,5.09614190807866e-09,5.09614277006862e-09,5.09614328075336e-09,5.0961427731586e-09,5.0961427739942e-09,5.09614300078326e-09,5.09614277398953e-09,5.09614286213271e-09,5.09614446308291e-09,5.09614281245744e-09,5.09614276977185e-09,5.09614275123258e-09,5.09614277160101e-09,5.09614298360549e-09,5.09614277294832e-09,5.0961427745489e-09,5.09614277526347e-09,5.09614301943533e-09,5.09614232511608e-09,5.09614270041543e-09,5.09614320086584e-09,5.09614316161634e-09,5.09614277359556e-09,5.09614283199014e-09,5.09614254994236e-09,5.09614277413628e-09,5.09614277238706e-09,5.09614277399748e-09,5.09614244267492e-09,5.09614277190711e-09,5.09614314076663e-09,5.09614277470549e-09,5.09614277035556e-09,5.09614336905147e-09,5.09614293493882e-09,5.0961427734521e-09,-7.11582686145544e-05,5.09614259258168e-09,5.09614277287633e-09,5.09614287624488e-09,5.0961427707195e-09,5.09614277273614e-09,5.09614277306796e-09,5.09614277287115e-09,5.09614277260856e-09,5.09614277292916e-09,5.09614277276325e-09,5.0961427730343e-09,5.09614230926333e-09,5.09614277140471e-09,5.09614277211601e-09,5.09614277226085e-09,5.09614277172531e-09,5.09614277272026e-09,5.09614256307852e-09,5.09614232835564e-09,5.09614277206784e-09,5.09614299377968e-09,5.09614308169225e-09,5.09614277160895e-09,5.09614277181923e-09,5.09614277190849e-09,5.09614277155146e-09,5.09614227941999e-09,5.09614253506337e-09,5.09614272341537e-09,5.0961427727011e-09,5.09614277294176e-09,5.09614330696816e-09,5.09614277165194e-09,5.09614277284456e-09,5.09614327835587e-09,5.09614251190048e-09,5.09614292498596e-09,5.0961427714206e-09,5.09614277282868e-09,5.09614272090406e-09,5.09614267326006e-09,5.09614419949265e-09,5.09614277265155e-09,5.09614290798403e-09,5.0961427723104e-09,5.09614245801517e-09,5.09614219026835e-09,5.09614212930399e-09,5.09614308057581e-09,5.09614246354047e-09,5.09614240600521e-09,5.09614277267399e-09,5.09614283246073e-09,5.09614297390146e-09,5.0961421628039e-09,5.09614317526541e-09,5.09614242849143e-09,5.09614266627653e-09,5.09614277179541e-09,5.09614277229918e-09,5.09614277171737e-09
"9",5.09614277143623e-09,5.09614244445923e-09,5.09614210541306e-09,5.09614308460595e-09,5.09614280803033e-09,-0.998944439348305,5.09614216008073e-09,5.09614218352988e-09,2.00972222731837,5.09614328480962e-09,5.09614234372403e-09,5.09614331669828e-09,5.09614251269832e-09,0.00105556065169838,5.09614283888055e-09,5.09614390361867e-09,5.09614344254843e-09,5.09614362399761e-09,5.09614176486814e-09,5.09614283599481e-09,5.0961432030038e-09,5.09614279519545e-09,5.09614336174032e-09,5.0961430891432e-09,5.09614248296736e-09,5.09614168742935e-09,5.0961512571409e-09,5.0961424071452e-09,5.09614405057639e-09,5.09614420343906e-09,5.09614177679589e-09,5.09614286878208e-09,5.09614012564275e-09,5.09614290893779e-09,5.09614307299343e-09,5.0961422613901e-09,5.09614274608406e-09,5.09614286337747e-09,5.09613807259576e-09,5.09614045320939e-09,5.09613621514718e-09,5.09614357217345e-09,5.09614308127243e-09,5.09614281289336e-09,5.09614300469901e-09,5.09614271297473e-09,5.09614281023568e-09,5.09614281125117e-09,5.09614281172318e-09,5.09614267143705e-09,5.09614281150306e-09,5.09614118998423e-09,5.09614281007305e-09,5.09614280805416e-09,-0.998944439348304,0.0010555606516984,5.09614281185542e-09,-7.11582686145537e-05,5.0961456281806e-09,5.09614281052072e-09,5.09614289375022e-09,5.09614277225995e-09,5.09614281089553e-09,5.09614280854395e-09,5.09614277099637e-09,5.09614281299056e-09,5.0961428119559e-09,5.09614281062447e-09,5.09614281374156e-09,5.09614333868166e-09,5.09614281108198e-09,5.09614281453088e-09,5.09614281340179e-09,5.09614281438414e-09,5.09614281036465e-09,5.09614257125971e-09,5.09614512556561e-09,5.09614281163669e-09,5.09614288877017e-09,5.09614268020766e-09,5.09614281700538e-09,5.09614281572489e-09,5.09614281261575e-09,5.09614281093057e-09,5.09614207685938e-09,5.09614740049741e-09,5.09614634860343e-09,5.09614281105021e-09,5.09614281183298e-09,5.09613579878227e-09,5.09614281366024e-09,5.09614281355182e-09,5.09614180185772e-09,5.09614380824938e-09,5.09614517841432e-09,5.09614281567862e-09,5.09614281380699e-09,5.09614529568995e-09,0.00105556065169852,5.0961407629467e-09,5.09614281308775e-09,5.09614217522146e-09,5.09614281101189e-09,5.09614296937459e-09,5.09614358148494e-09,5.09614068367849e-09,5.09614251174461e-09,5.09614311400303e-09,5.0961427059181e-09,5.09614281118574e-09,5.09614367664312e-09,5.0961409396084e-09,5.0961422386393e-09,5.0961472489337e-09,5.09614251113021e-09,5.09614269627729e-09,5.09614281505054e-09,5.09614281197645e-09,5.09614281272279e-09
"10",5.09614277218836e-09,5.09614285016086e-09,5.09614276758272e-09,5.09614277158996e-09,5.09614277189248e-09,5.09614278663677e-09,5.09614277381366e-09,5.0961427639507e-09,5.0961432847315e-09,0.0150000050961428,5.09614277579888e-09,5.09614276597097e-09,5.09614277585448e-09,5.09614337620846e-09,5.09614277417396e-09,5.09614240749417e-09,5.09614277133915e-09,5.09614277145552e-09,5.09614287606013e-09,5.09614277153217e-09,5.09614277091531e-09,5.09614368382783e-09,5.0961427723612e-09,5.09614140612935e-09,5.09614276918991e-09,5.09614277384732e-09,5.09614208844289e-09,5.09614276725613e-09,5.09614244489326e-09,5.09614240362953e-09,5.09614285126053e-09,5.09614277450389e-09,5.09614264643309e-09,5.09614276798469e-09,5.09614293214875e-09,5.0961427715004e-09,5.09614276746313e-09,5.09614277178267e-09,5.09614382414594e-09,5.09614175630516e-09,5.09614358047808e-09,5.09614210862922e-09,5.09614298883737e-09,5.09614276957266e-09,5.09614254845992e-09,5.09614267960159e-09,5.09614277222758e-09,5.09614277164387e-09,5.09614277084194e-09,5.09614245559268e-09,5.09614277414548e-09,5.09614199342543e-09,5.09614277098074e-09,5.09614277218735e-09,5.09614257545834e-09,5.09614229999157e-09,5.09614277563625e-09,-7.11582686145555e-05,5.09614319714857e-09,5.09614277278366e-09,5.09614273328148e-09,5.09614277133156e-09,5.09614277199295e-09,5.0961427740866e-09,5.096142773429e-09,5.09614277172985e-09,5.09614277153545e-09,5.09614277139664e-09,5.09614277250795e-09,5.0961422970276e-09,5.09614277144757e-09,5.09614277142703e-09,5.09614276989136e-09,5.09614277342158e-09,5.09614277067603e-09,5.09614261177495e-09,5.09614236200877e-09,5.09614277254438e-09,5.09614286531748e-09,5.09614277582747e-09,5.09614277203128e-09,5.09614277259393e-09,5.09614277105688e-09,5.0961427709438e-09,5.09614325188377e-09,5.09614220805665e-09,5.09614319701063e-09,5.0961427703316e-09,5.09614277152095e-09,5.09614183474579e-09,5.09614277215558e-09,5.09614277340242e-09,5.09614313577194e-09,5.09614303718508e-09,5.09614294134606e-09,5.09614277208687e-09,5.09614277129944e-09,5.09614301758463e-09,5.09614230651733e-09,5.09614616286301e-09,5.09614277125784e-09,5.09614257387578e-09,5.09614277240747e-09,5.09614315259794e-09,5.09614303140815e-09,5.09614282575701e-09,5.09614265723772e-09,5.09614288745217e-09,5.09614299268276e-09,5.09614277090081e-09,5.09614276365675e-09,5.09614251714284e-09,5.09614243297573e-09,5.09614312974467e-09,5.09614194877483e-09,5.09614281068091e-09,5.09614277265142e-09,5.09614277239625e-09,5.09614277235654e-09
