"","2e070561ea8eb266cdb818df4837b234","3e2b681ffae0ed2c911d10f5f716b116","c79571f3987b7d0a02e80a0418cdce2d","06aee5e3c065195c96c0de9465f5052f","28846dfd572c11045b653ec2be287fd6","169489f5b0e35f43b973323cb38640d3","5293347307ba2273128ff49ef667c2e2","b80a21aea5f044c6d6ec228e90462724","31d7fc796fb54e2e2a55100f6aa965db","063f3e9209364b3e9f1631e9d1f5bc07","02b635ee4494e4d6d8c5a2e777790528","ca678c5eebd8cd6d2b9fd79b2b7b482d","f842025ead49bc149ae74134c714ba81","aa77c594b7d0cfa43d014f6dbdcfba08","6a0de93f13432aad8fedeebd7dbb6f8b","d43ccb6a8cecd300a6155e0cc00759da","f0be022fb4a534c825036c055e1d2918","8ac23e46b3bc640932b9da4b6bbaac7d","a76587d17ddcd2c38f4d2ebc59d94d97","e97896d9224d3b17bfff51bd80155dbe","967ed838965959e0a244e9be64d44344","684d5fbaa7947f241ffbea26d575032a","108ef8bafa0d865104d187205911c216","0e3667b0768c3794c8cec0839fdf7a30","bdc63ca5361cf55830e3850bd89815e1","ce4781d01654d0105b82fc5b808f0872","b9440453a1aab38262b8122866e953d8","12d1a58b118e5f82dad066f2fb1fcb35","2b61189ad33aa825080791152e978e1a","26ff0f4f70e92f14c7d20c9cdbb6e0ef","ee27c546bcb886bb6a5db8baab68a0b0","a2c518e020bbc8d47269b1c966450330","2394a32611cd45b2bf20d8c4d58edd59","bdc54ec0731a445a7aa71b882c3b1f16","02efeaf502eb1c9086fc898393199d37","320eff9539748e26e4c8e6b21dce6017","68c572fb9f67cb5219199ba505777d32","d0c97b88ec2308ca2b6b211c505796a5","6e9d2e50b259c8c0db96f00d696666df","7e5e247a2aae3a5a65d2a9fb1d4d402a","44e7108b2bc72f3fcf45615e8d374f7b","48604aed7a32d0dc1c918d621dd693ad","1b5484df9e03fc1d9e1412d8eccef25a","1781f50fbe64909dc5a3d0cf9ea0586c","fd5d69131b95d7e623d7cd64bff82425","8694543aa0cd99f2ab1d8c5e3b0ca23c","45bfbb39593a43fdc7391ab9f675bcf3","4fe27c10c38f825c0905341cc4a6d9ce","3567e5a64486c96424441a2684fb9e10","1f7f497d7ceb8885e0b8a088510c7fa2","b9fb1e8677428af05aa64f6f3b9ed980","223522aae682578b0dcb9d6d99a95679","dbb5ae671529f5ced0359caf945a775c","3f1269434afa9dab4be724760db82e08","81f53f73e445a4768f441bc4b91d6a49","c708d313b7532173eb569a8ddf61ea38","5ff02a958c9ab5f547df454408adfe6c","2cf84912590c72b79ce5b3c54bd63c2c","5410215af645a2a558adf0f36164d32d","158e2dc90c82adbac6b7c806b506d16c","9119f2bd67b9d6bc167c141e5b29b9ac","8013c556db1cdcaf5fbaf870f916655c","a32d8e2a72363c636e758682643da778","2cc4db072a0588f77ed3c65fc6ce673c","8eb4026d1a9f982d80838fbfeb9b96db","f526d9debaf848560d6b81698a406cfd","4d828e91df5db131843184bf1041a115","9939b115210f25688db2cadfd1a7e4be","d3e075636936d4456e2cf4ceabc3ac05","bfe339363dfb7aeb0dbf928bc59f3914","7928a20c4bdd27e688516b7b857b1eb5","32ae960323ec2e20df4c1b4a9febcaa4","59b6c1921754b7a4ca9b532db2791d45","0636becebc29634eaa49e062ee0e7955","056d13e41e7768f4fea37f020f31223a","8abd63757c69cd216e15efbde8ee27ce","5209bf6f6396b6d6f8819f7c76a25e4d","200844a495b5fd43dd3d43b0f04d6776","a6a60ae8b26f2910269437265679da88","41697c24be2dcd1cff1410ce05ef35c3","325d765229bdb44eb3fb71c9b36f4b6f","7a319d4f05f2d57986e9742c389d2394","27de9fcae0008fad3eac16305f489ce8","fa57fe47154edf3f21ad07b730003c4b","7df9f3771bcb8b6da7ba7b1d0de6f602","755b067a58fadc0bf2f437420a5ca3e8"
"BF.13.2",1.24284897052494,1.02569475413573,1.47275584011063,1.22526516933387,1.9045437555837,-3.3867494689603,1.13965790526405,1.19716535837778,1.42330975869699,-2.70012892798342,-2.5055598018934,-1.89325558805372,-2.49571700137601,-2.57798831579584,-0.125125830935282,1.35810801862585,-2.17333690843456,-2.08967645050277,-2.15874074488313,-2.30837445923594,1.1288882045454,-1.99305471420003,3.7501527591731,1.49075108358456,3.11786190415756,0.959253525615678,3.74928538266666,-1.89739824995037,3.61370705226494,-1.83023441869848,-1.43242472010696,3.42167993502088,-1.83825752263165,-1.59366772622132,3.80080815104773,-1.65457038322555,-1.61204841450092,-1.42362052876886,-1.80689715915091,-1.82397575993059,-1.51607632473283,3.41131286886821,-1.35271324055475,-1.30644126492578,-1.96655518188025,-1.35675516630288,-1.46104830822308,-1.37190011190125,-1.32344091603298,-1.40981201957423,-1.42883271630114,-1.27132834214576,-1.69995776606977,-1.89888458429256,3.0039163834196,-1.67933739081946,-1.75794209250262,-1.50015987124139,-1.87779854052604,-1.4208529519157,3.71203785209101,3.72072242383621,-1.19665683382529,-1.47788593434323,-1.47384731194573,2.61597616794133,-0.95002333194124,-1.38469453445201,-1.25268171733139,2.84686927700558,-0.932381117589977,-0.951334037299168,3.14096461983592,-1.13549901619956,-1.04451672592481,-1.03543137041852,2.96173045982124,2.19833760163332,3.6311876158169,-1.01311796172343,2.54223288816369,-1.16233006988509,-0.933795275270557,-1.14665113800375,-1.0002516553346,-1.04476662136067
"BF.13.3",1.21122578209443,1.63905481807784,0.941410486113466,1.12467793242871,1.82582818811823,2.38469165416971,1.19553836365851,1.08361065883092,1.62980167641876,-2.70012892798342,-2.5055598018934,-1.89325558805372,-2.49571700137601,-2.57798831579584,-2.3223504082715,2.36677207063102,-2.17333690843456,-2.08967645050277,-2.15874074488313,-2.30837445923594,0.902764025093053,-1.99305471420003,3.94174795275238,0.272179479837475,4.2692247582112,1.11541425637096,4.00212072378827,-1.89739824995037,3.88564076774858,-1.83023441869848,-1.43242472010696,4.38525593988505,-1.83825752263165,-1.59366772622132,3.54487477691053,-1.65457038322555,-1.61204841450092,3.25851069835536,-1.80689715915091,-1.82397575993059,-1.51607632473283,3.94433920261439,-1.35271324055475,-1.30644126492578,-1.96655518188025,-1.35675516630288,-1.46104830822308,-1.37190011190125,-1.32344091603298,-1.40981201957423,2.44236829460676,-1.27132834214576,-1.69995776606977,-1.89888458429256,-1.50694312309725,-1.67933739081946,-1.75794209250262,-1.50015987124139,-1.87779854052604,-1.4208529519157,-1.35686635012922,-1.03286776727015,-1.19665683382529,-1.47788593434323,-1.47384731194573,3.73928106919981,-0.95002333194124,-1.38469453445201,-1.25268171733139,-1.10437444157585,-0.932381117589977,-0.951334037299168,-1.06372799955505,-1.13549901619956,-1.04451672592481,-1.03543137041852,2.71326910052274,2.32617097314321,-1.05094361130732,-1.01311796172343,3.60805535400881,-1.16233006988509,-0.933795275270557,-1.14665113800375,-1.0002516553346,2.9625665638718
"BF.14.2",2.62914333164483,2.82255367347613,2.42079527029937,2.56253010321345,3.15901272392417,3.49671311745279,2.56952908358304,2.30701372031282,3.10528166604486,-2.70012892798342,2.20397039941894,-1.89325558805372,-2.49571700137601,1.37325540278559,-2.3223504082715,3.56956771178394,1.63332558133576,-2.08967645050277,1.55483132182118,-2.30837445923594,2.34351830334532,-1.99305471420003,-1.33125160581136,2.10240522989333,-1.26416473051632,2.38015341591304,-1.23432123904168,-1.89739824995037,-1.23832321165468,-1.83023441869848,-1.43242472010696,-1.13219695657966,-1.83825752263165,-1.59366772622132,-1.24261696587151,-1.65457038322555,-1.61204841450092,3.22077037037251,-1.80689715915091,-1.82397575993059,-1.51607632473283,-1.17365460980236,3.17988625259851,-1.30644126492578,-1.96655518188025,3.19712172529766,-1.46104830822308,2.87659513014811,-1.32344091603298,-1.40981201957423,2.9019006239852,3.07247707970792,-1.69995776606977,-1.89888458429256,-1.50694312309725,-1.67933739081946,-1.75794209250262,-1.50015987124139,-1.87779854052604,-1.4208529519157,-1.35686635012922,-1.03286776727015,-1.19665683382529,-1.47788593434323,-1.47384731194573,-1.07290328617261,-0.95002333194124,-1.38469453445201,-1.25268171733139,-1.10437444157585,-0.932381117589977,-0.951334037299168,-1.06372799955505,-1.13549901619956,-1.04451672592481,-1.03543137041852,-0.950292545606905,-0.892704851724993,-1.05094361130732,2.31908654845177,-0.891754316321458,-1.16233006988509,-0.933795275270557,-1.14665113800375,-1.0002516553346,3.20372862068868
"BF.2.2",1.13619059615151,1.48490413825058,1.23061578810577,1.04771689129258,0.994211333293177,2.02489658289474,1.40113760532181,1.05796822821758,1.99465206537273,1.88483855068715,1.83824561996029,-1.89325558805372,1.91100224588825,1.51635624642626,2.10846639057181,2.62460117993312,-2.17333690843456,1.52124146214146,2.5507894564292,2.2134141178131,1.05478023239168,-1.99305471420003,-1.33125160581136,1.39977930537884,-1.26416473051632,1.2609218400422,-1.23432123904168,-1.89739824995037,-1.23832321165468,-1.83023441869848,-1.43242472010696,-1.13219695657966,-1.83825752263165,-1.59366772622132,-1.24261696587151,-1.65457038322555,-1.61204841450092,-1.42362052876886,-1.80689715915091,-1.82397575993059,-1.51607632473283,-1.17365460980236,-1.35271324055475,-1.30644126492578,-1.96655518188025,-1.35675516630288,-1.46104830822308,-1.37190011190125,-1.32344091603298,-1.40981201957423,-1.42883271630114,-1.27132834214576,-1.69995776606977,-1.89888458429256,-1.50694312309725,-1.67933739081946,-1.75794209250262,-1.50015987124139,-1.87779854052604,-1.4208529519157,-1.35686635012922,-1.03286776727015,-1.19665683382529,-1.47788593434323,-1.47384731194573,-1.07290328617261,-0.95002333194124,-1.38469453445201,-1.25268171733139,-1.10437444157585,-0.932381117589977,-0.951334037299168,-1.06372799955505,-1.13549901619956,-1.04451672592481,-1.03543137041852,-0.950292545606905,-0.892704851724993,-1.05094361130732,-1.01311796172343,-0.891754316321458,-1.16233006988509,-0.933795275270557,-1.14665113800375,-1.0002516553346,-1.04476662136067
"BF.2.3",1.5826508439626,1.8290984209657,1.35899695475397,1.51414269919043,2.11888372863115,2.36899274462661,1.58272142692922,1.35855370550527,-3.26803812353215,2.38127543700104,2.73618721316625,2.98954633453265,2.48101674104457,2.4056183059125,2.57548939167941,2.71577056707141,2.54516196286053,2.97922775171747,2.52339048224109,2.20248504728091,1.45166159680845,-1.99305471420003,-1.33125160581136,1.20016625147482,-1.26416473051632,1.331302636804,-1.23432123904168,-1.89739824995037,-1.23832321165468,-1.83023441869848,3.07843478640989,-1.13219695657966,-1.83825752263165,-1.59366772622132,-1.24261696587151,2.2574526222026,-1.61204841450092,-1.42362052876886,-1.80689715915091,-1.82397575993059,-1.51607632473283,-1.17365460980236,-1.35271324055475,-1.30644126492578,-1.96655518188025,-1.35675516630288,-1.46104830822308,-1.37190011190125,-1.32344091603298,-1.40981201957423,-1.42883271630114,-1.27132834214576,-1.69995776606977,-1.89888458429256,-1.50694312309725,-1.67933739081946,-1.75794209250262,-1.50015987124139,-1.87779854052604,2.73803013144397,3.59896070747204,4.50052172145737,-1.19665683382529,-1.47788593434323,-1.47384731194573,-1.07290328617261,-0.95002333194124,-1.38469453445201,-1.25268171733139,-1.10437444157585,-0.932381117589977,-0.951334037299168,-1.06372799955505,-1.13549901619956,-1.04451672592481,-1.03543137041852,-0.950292545606905,-0.892704851724993,-1.05094361130732,2.99421522350904,-0.891754316321458,-1.16233006988509,3.01744844331087,-1.14665113800375,-1.0002516553346,-1.04476662136067
"BF.23.2",-4.30622711437028,-4.06805544667104,-4.15845594171073,-4.11706908263094,-3.62090918354808,-3.3867494689603,-4.01939739395048,-3.97898437419605,-3.26803812353215,2.8796008980028,2.88806774445896,3.51391618340639,2.62824697802725,3.11574382300686,3.29442068939507,-2.76902636641924,3.26038509511968,-2.08967645050277,3.1395766216649,2.90111169360548,-3.30192859429791,4.0255385002962,4.81721669010628,-3.25418104477869,4.73477183143036,-3.30342635142564,4.0231741329861,4.17333947805212,4.70184804106575,3.87687584605039,3.81459935205353,4.5581624977444,3.93318360049836,3.56538757299321,4.80001586781087,3.69253714749192,3.86859050884107,3.76933632212135,3.97384635664142,3.83550645582903,-1.51607632473283,4.74254745280507,3.82343649201908,-1.30644126492578,1.98468853670117,3.68019743611075,-1.46104830822308,3.8645418509287,-1.32344091603298,4.38624573119114,3.50564121682956,3.56495356480572,-1.69995776606977,-1.89888458429256,-1.50694312309725,-1.67933739081946,-1.75794209250262,-1.50015987124139,-1.87779854052604,3.06778341781644,-1.35686635012922,-1.03286776727015,-1.19665683382529,-1.47788593434323,-1.47384731194573,3.93773200792365,-0.95002333194124,-1.38469453445201,-1.25268171733139,2.9209772491593,-0.932381117589977,-0.951334037299168,2.5998336465746,-1.13549901619956,-1.04451672592481,-1.03543137041852,3.95498223283152,-0.892704851724993,2.880882021417,-1.01311796172343,3.78107451814045,-1.16233006988509,-0.933795275270557,-1.14665113800375,-1.0002516553346,-1.04476662136067
"BF.24.2",0.204632392146568,1.00084875554919,0.797371115890528,-0.0395316387252169,-3.62090918354808,-3.3867494689603,0.971035192828256,0.210670367830375,-3.26803812353215,-2.70012892798342,-2.5055598018934,-1.89325558805372,-2.49571700137601,-2.57798831579584,-2.3223504082715,-2.76902636641924,-2.17333690843456,-2.08967645050277,0.326165904904869,-2.30837445923594,0.526712802191182,-1.99305471420003,-1.33125160581136,0.595966556931371,-1.26416473051632,0.457773764267924,-1.23432123904168,-1.89739824995037,-1.23832321165468,-1.83023441869848,-1.43242472010696,-1.13219695657966,-1.83825752263165,-1.59366772622132,-1.24261696587151,-1.65457038322555,-1.61204841450092,-1.42362052876886,-1.80689715915091,-1.82397575993059,-1.51607632473283,-1.17365460980236,-1.35271324055475,-1.30644126492578,2.48779211437325,-1.35675516630288,-1.46104830822308,-1.37190011190125,-1.32344091603298,-1.40981201957423,-1.42883271630114,-1.27132834214576,3.25586929153149,2.41860352924375,3.19353724269517,2.89537358768392,2.44675052688835,-1.50015987124139,2.96638854593256,-1.4208529519157,-1.35686635012922,-1.03286776727015,-1.19665683382529,2.68099714901645,-1.47384731194573,-1.07290328617261,-0.95002333194124,3.17965365701582,-1.25268171733139,-1.10437444157585,3.17849274658333,-0.951334037299168,-1.06372799955505,-1.13549901619956,-1.04451672592481,-1.03543137041852,-0.950292545606905,-0.892704851724993,-1.05094361130732,-1.01311796172343,-0.891754316321458,-1.16233006988509,-0.933795275270557,-1.14665113800375,-1.0002516553346,-1.04476662136067
"BF.27.3",1.24673247055134,2.00729058441765,1.30112957243343,1.25356894549673,1.79519121865634,2.74230074110024,2.11616749713126,1.26803969796444,1.23177154679811,1.77720788649479,1.48342424467088,-1.89325558805372,1.75277824067335,-2.57798831579584,2.30262240501277,3.11150661998146,-2.17333690843456,-2.08967645050277,-2.15874074488313,-2.30837445923594,1.25194829730263,-1.99305471420003,-1.33125160581136,1.18847021171163,-1.26416473051632,1.7464296558239,-1.23432123904168,-1.89739824995037,-1.23832321165468,-1.83023441869848,-1.43242472010696,-1.13219695657966,-1.83825752263165,-1.59366772622132,-1.24261696587151,-1.65457038322555,-1.61204841450092,-1.42362052876886,-1.80689715915091,-1.82397575993059,-1.51607632473283,-1.17365460980236,-1.35271324055475,-1.30644126492578,2.39015364480934,-1.35675516630288,-1.46104830822308,-1.37190011190125,-1.32344091603298,-1.40981201957423,-1.42883271630114,-1.27132834214576,2.77737904840844,2.69623526584203,-1.50694312309725,2.51031735120696,2.88644880663876,-1.50015987124139,2.84070033076906,-1.4208529519157,-1.35686635012922,3.7120643610931,-1.19665683382529,-1.47788593434323,-1.47384731194573,-1.07290328617261,3.28408317265602,3.33380433684308,-1.25268171733139,-1.10437444157585,-0.932381117589977,-0.951334037299168,-1.06372799955505,-1.13549901619956,-1.04451672592481,-1.03543137041852,-0.950292545606905,-0.892704851724993,-1.05094361130732,-1.01311796172343,-0.891754316321458,-1.16233006988509,-0.933795275270557,-1.14665113800375,-1.0002516553346,-1.04476662136067
"BF.31.2",0.642532776007886,1.23524946138804,0.645565103022524,0.507903730653334,1.11528926484641,0.861745773089057,0.878442406000431,0.605983104474523,1.36669086469748,-2.70012892798342,-2.5055598018934,-1.89325558805372,-2.49571700137601,-2.57798831579584,-2.3223504082715,2.06725554053224,-2.17333690843456,-2.08967645050277,-2.15874074488313,-2.30837445923594,0.629897038426413,2.35075070765365,3.422338585295,0.301167016710727,3.33095511961827,1.1852100183065,-1.23432123904168,2.37926786906568,2.99578329294258,2.82372593145904,-1.43242472010696,-1.13219695657966,3.11756953496961,-1.59366772622132,3.13940966880237,-1.65457038322555,3.37838417227782,-1.42362052876886,2.65901095950368,2.66466060980155,-1.51607632473283,3.40105636870102,-1.35271324055475,-1.30644126492578,-1.96655518188025,2.99995366038671,-1.46104830822308,-1.37190011190125,-1.32344091603298,-1.40981201957423,3.03707540235345,-1.27132834214576,-1.69995776606977,-1.89888458429256,-1.50694312309725,-1.67933739081946,-1.75794209250262,-1.50015987124139,3.1126340462527,-1.4208529519157,-1.35686635012922,-1.03286776727015,-1.19665683382529,-1.47788593434323,-1.47384731194573,2.75573811031648,-0.95002333194124,-1.38469453445201,-1.25268171733139,3.27765219309803,-0.932381117589977,-0.951334037299168,-1.06372799955505,-1.13549901619956,-1.04451672592481,-1.03543137041852,2.96173045982124,3.45110057012869,2.61261803482232,-1.01311796172343,2.84591530196191,-1.16233006988509,-0.933795275270557,-1.14665113800375,-1.0002516553346,-1.04476662136067
"BF.32.2",1.87378953928229,2.05662794422317,1.60986505408304,1.82835152597564,2.4838840488669,2.73134772908105,1.74892360184329,1.53846852226866,-3.26803812353215,-2.70012892798342,-2.5055598018934,-1.89325558805372,-2.49571700137601,-2.57798831579584,-2.3223504082715,-2.76902636641924,-2.17333690843456,-2.08967645050277,-2.15874074488313,-2.30837445923594,1.61072629143814,3.48340883773148,-1.33125160581136,1.29969584682185,-1.26416473051632,1.90058033565116,-1.23432123904168,3.25589334454741,-1.23832321165468,3.48788557514573,-1.43242472010696,-1.13219695657966,3.23064667958858,3.91976101994366,-1.24261696587151,-1.65457038322555,3.74453786017109,-1.42362052876886,3.14186273122726,2.91222268846391,-1.51607632473283,-1.17365460980236,-1.35271324055475,-1.30644126492578,5.17785199844089,-1.35675516630288,-1.46104830822308,-1.37190011190125,-1.32344091603298,3.4954627588642,-1.42883271630114,-1.27132834214576,5.53638157668458,4.80919949956051,4.00244521353073,5.31734409735707,5.21653681852243,-1.50015987124139,4.95846073675103,-1.4208529519157,3.36163252116588,4.65410758906967,-1.19665683382529,5.0688994764173,-1.47384731194573,-1.07290328617261,6.23989883880457,5.19316682326903,-1.25268171733139,-1.10437444157585,6.14596046196769,-0.951334037299168,1.98079443816837,-1.13549901619956,-1.04451672592481,-1.03543137041852,-0.950292545606905,-0.892704851724993,-1.05094361130732,-1.01311796172343,-0.891754316321458,-1.16233006988509,2.11072716245287,-1.14665113800375,-1.0002516553346,3.40958067489283
