"","2' fucosyl lactose","2'-Deoxyinosine","2'-Deoxyuridine","2-Aminobutyrate","2-Hydroxybutyrate","2-Hydroxyglutarate","2-Hydroxyisobutyrate","2-Hydroxyisovalerate","2-Oxoglutarate","3' fucosyl lactose","3'-sialyllactose","3-Hydroxybutyrate","3-Phenyllactate","4-Aminobutyrate","4-Hydroxybenzoate","4-Hydroxyphenylacetate","4-Hydroxyphenyllactate","5,6-Dihydrouracil","5-Aminopentanoate","6' sialyllactose","Acetaminophen","Acetate","Acetoin","Alanine","Allantoin","Arabinose","Arginine","Ascorbate","Asparagine","Aspartate","Betaine","Butyrate","Cadaverine","Carnitine","Choline","Citrate","Citrulline","Creatine","Creatinine","Cytidine","Cytosine","DL-methionine-sulfoxide","Desaminotyrosine","Dimethylamine","Ethanol","Ethanolamine","Ethyl-beta-D-glucuronide","Formate","Fucose","Fumarate","Galactose","Glucose","Glutamate","Glutamine","Glutarate","Glycerol","Glycine","Guanosine","Histidine","Hypoxanthine","Indole-3-acetate","Indole-3-lactate","Inosine","Isobutyrate","Isoleucine","Isopropanol","Isovalerate","Lactate","Lacto-N-fucopentaose I","Lacto-N-fucopentaose III","Lactodifucotetraose","Lactose","Leucine","Lysine","Malate","Methanol","Methionine","Methylamine","Methylsuccinate","N,N-Dimethylglycine","N-Acetylglucosamine","N-Acetylneuraminate","N-Carbamoyl-beta-alanine","N-Methylhydantoin","Nicotinate","O-Acetylcarnitine","Ornithine","Phenol","Phenylacetate","Phenylalanine","Proline","Propionate","Propylene glycol","Putrescine","Pyroglutamate","Pyruvate","Ribose","Sarcosine","Serine","Succinate","Taurine","Threonine","Thymidine","Thymine","Trimethylamine","Tryptophan","Tyramine","Tyrosine","Uracil","Urea","Uridine","Urocanate","Valerate","Valine","Xylose","myo-Inositol","p-Cresol","beta-Alanine","beta-Pseudouridine"
"EF.1.1",0,6.5087072674053,6.98265290035941,6.6379184930145,0,9.63868684940634,3.29692958093006,7.5255173076528,0,0,0,5.18913316111334,0,0,0,7.57024018276422,7.66410340091421,0,8.42376661147227,0,0,12.2564494085037,5.97462902426556,9.92953600988098,0,5.13387411687071,7.50874543591937,4.93322057381137,6.97366812949548,9.99171192198434,0,10.1604822326567,9.86794233639462,3.83502310174894,4.81545131956496,5.80980314882197,8.72678348594763,6.48838735708077,6.29486064247822,0,0,6.00836674206599,0,4.84621905896729,9.47956150647137,0,4.78370692600091,9.82121776324689,6.07260828216575,6.87510375341242,8.72113906866329,8.02987698219252,10.753086749417,0,0,9.57032192204616,9.29502805134276,4.98728247722062,8.85761423099889,7.42154190099846,5.73168688975042,7.15779284333033,4.50677192506094,9.01610585182836,8.96667160465944,0,8.54596175340859,7.69265126798834,0,0,0,0,9.10627309383362,10.3307027339854,8.89398187378999,4.66392466867792,8.47412805309592,6.94807262838366,0,0,7.26450368156672,0,7.27524202940006,0,6.57270658341723,0,8.53994895850741,0,8.09840938673,8.6327545417873,8.14759024362919,11.0741003426312,4.37023462455946,7.7769471141094,8.52552198221259,5.71275928540474,8.66852083489429,6.8049720905514,8.79710963202429,11.7471320758484,9.66362455979615,8.82072824032281,6.83028983772613,6.89287318674241,7.15629021522902,7.28189540746259,8.25490196343658,8.405393953751,8.00251288811663,0,5.71910837489676,0,7.30159399068865,9.32898864998571,0,8.73674000840166,4.54843488667651,0,0
"EF.3.1a",0,6.27166980812162,6.51950457749628,0,0,8.14985829807722,3.65389871396374,7.3240895807157,0,0,0,6.4652117442974,0,8.35759715190062,0,6.79491563653287,6.15583892295434,0,7.00313311088838,0,0,12.6100118326907,5.66814315004253,10.7632243675205,7.01310823955754,0,8.33800149116727,0,7.2718389383499,8.46946939746493,5.34492698314425,10.4181847858369,9.38147097652222,5.7763544125583,7.96976359591794,0,0,8.9650257416318,5.83446098877167,0,0,6.4822333509587,0,0,8.32271372398296,0,0,8.32472108488658,9.05654888643715,6.23992134376342,10.2520291270514,9.46351339809839,11.0654747949667,0,6.52760175260845,10.2950628967354,10.810796778774,5.52504625997217,7.22677749172757,7.85792096652006,0,5.93415880266236,7.09181380294741,7.34032076174571,9.36766797376224,0,6.79491563653287,7.53036423154024,0,0,0,0,9.43595388065695,9.4085182357883,0,5.33168236808865,8.42753825116504,0,0,4.41551438777115,9.08944242661754,9.08413902951064,0,0,5.72371174608958,0,7.17115044376477,0,6.87780310500148,9.05009725125757,10.2887997307957,11.3672361029844,6.14997385673032,8.45724928718453,8.85762729237707,5.90452743264319,8.07120794710079,3.95897406198784,8.98663689931902,11.3742918149858,9.34527542340611,9.79095525445812,6.88910263645617,6.16166979138335,0,8.53223508773071,6.00460954223767,9.17468912581846,8.11831504954387,0,7.46779619275916,5.34492698314425,7.01062377032615,10.409163412707,5.97702193124061,8.168004749438,0,5.64891225576504,0
"EP.11.1",0,3.25795171326749,4.73815208957798,5.97337719582042,6.96515387190455,8.28516444395481,2.94906432008572,3.91611334776509,6.33532122149024,0,0,5.82654404923553,4.70738529573822,6.02069726652054,0,5.97337719582042,4.10404123906632,5.56571517928564,9.45806130645637,0,0,11.2387961981869,4.55586425293094,8.80736118335231,5.89553580076017,0,7.1332127272915,0,5.55238204456553,8.01978389452861,3.84471530733101,9.5917615339175,8.86789441033321,3.25795171326749,5.01437293105797,4.83894279489984,6.66210451223086,7.0807556975769,4.76800061074415,4.13219719447296,0,4.49978788623921,0,3.84471530733101,8.49255823105652,0,0,4.10404123906632,8.02205791388931,6.44557708591101,9.26512027991996,8.69106591211297,10.3056678694012,6.82694329742426,0,9.70314264987553,9.26626641174136,4.57387885259437,6.04148779647308,5.62983794519548,0,0,4.67564194051409,7.1961096332738,7.8291180518723,6.7610281346821,7.01145096747358,6.55477588337348,0,0,0,0,7.8656332537625,10.1787863304303,7.4953969987336,4.2621913516669,7.00988968949169,3.64015236431946,0,2.34932937800052,7.99149918650564,7.51821166275418,0,0,4.79698408085806,0,5.62983794519548,0,6.16155325209678,7.41013240453443,8.11110203483698,8.80346962324961,3.59369947492534,8.01864494238846,5.99516427359128,4.33278276872231,7.12906047761868,5.51825010095776,7.47401621722957,10.1023507759992,7.86363923556935,7.8145496402495,0,5.081058797251,4.86596817052117,5.64218346649373,7.1359713463082,6.89756070994643,6.51713044205736,0,4.64285800385071,4.93049950420664,6.55968987822721,8.23320471209215,0,6.17604613234234,0,5.27583466674998,4.04523475202856
"BF.6.1",11.2474498964616,0,0,4.21258924681554,4.00139543633911,6.9124529686527,1.61377482935659,4.16382155256346,0,10.6579007840591,7.63632256365645,0,0,3.80739806099824,0,3.36626431286344,5.35752445876895,0,6.96542475367226,8.41670718559507,0,9.24731064077522,0,7.37945148747152,0,0,6.19501626483031,0,3.61092526041289,7.38843806127279,3.04193164159408,3.90908996681032,6.77915042386513,3.47139863297931,4.48216141376207,6.54081050139093,0,7.44636927350995,3.24879724763299,0,0,0,0,0,8.17408981397937,0,0,8.4883745133718,6.77365088257909,4.34606925389046,7.71391550154322,6.8480212446762,8.06150396308229,6.08783358912444,0,9.29466123784336,7.50290206433597,3.18446598878888,6.02378227181006,4.16382155256346,0,5.53096183279788,0,3.5665413548595,6.02766572652452,6.59938557186429,2.56013420723224,7.9774386564026,8.57577186676886,8.22617571777512,9.02377972305494,0,6.47858975447608,6.65056927100396,5.46515082246308,3.90908996681032,5.26221894301248,0,0,0,7.41007114040626,0,0,2.96228352144732,3.69419473520852,0,5.63376840863312,0,0,6.37185711660812,5.63376840863312,5.74771006319144,0,4.70888810255825,5.50515478030889,5.07990920924786,6.24302510297519,2.87577849009536,0,9.28754377027571,7.50732489064657,6.47858975447608,0,0,4.00139543633911,4.67947914111955,3.04193164159408,6.70518327538208,4.50017539309296,0,3.18446598878888,4.40667470633507,3.5665413548595,6.97599087112315,0,6.68730797805857,0,0,0
"BF.7.1",0,4.79076955258062,5.13557566390592,6.31419931968648,6.63031779183378,8.62253382019697,4.0055118986539,7.52869051409249,0,0,0,6.35193940948803,6.95638816062214,9.6966287230296,0,5.23466034325217,6.87746920387963,6.08462678813847,5.76969962471916,0,0,12.2176172118695,7.3879291177994,9.93742524896127,0,0,0,5.58848668380693,4.76092083380246,7.60997664108625,5.50568330092963,7.09768839787881,9.25508623082572,0,6.57508186665083,5.44640876924042,0,0,0,0,6.54754581889357,5.26256758989987,0,2.77233333461644,8.32008425121805,6.72392699333348,0,4.46314601105225,10.927887511261,4.12680126869699,8.16052875933976,7.61696967377864,9.10563641152083,6.12027376999917,4.96569063481804,9.52107714558985,8.73228239325402,2.97171459272608,7.61522599462113,6.99118862886681,0,6.25136917995399,0,5.4984632931194,7.70448901221714,6.59947322722891,5.75858861810516,11.1514695210197,0,0,0,0,8.13491260880644,8.26056402894036,5.724495109343,4.18234374402109,7.20187679527965,0,0,0,6.65796922927209,8.23928663323712,5.32480675563603,0,5.59508718435139,4.15495788784463,6.9830119823607,0,5.68919810692429,7.31760542351615,8.54020467373773,8.66770580138021,9.88814296403736,9.22379069256118,0,6.38233670748605,7.68025520302522,6.88292871435633,7.17919406079256,10.6695890799766,7.2841495261498,7.90486938613915,4.94069182572342,5.38339829821289,0,6.16961918984589,7.81184271294586,6.2749788742452,6.98465266900449,0,3.34502556921542,6.37331414194038,7.43916760879436,8.8818537796968,5.35870675311988,8.38397572539724,0,0,0
"BP.8.1",0,3.75724464227267,4.02528232478613,0,0,7.13978562591284,4.46902604608655,4.54176762139872,0,0,0,4.54176762139872,5.12361109727752,8.95943730162838,0,4.10979010463941,6.19570046799785,0,0,0,0,11.9167449738669,6.89052097585939,9.58406002200999,0,5.48905248551051,7.01775091785423,4.8294000308667,0,6.63848909314276,3.83127755308071,4.28298295892239,7.4103504936765,0,6.46475199212632,9.1525970716823,0,6.27934985731614,0,3.83127755308071,6.52929021954125,4.02528232478613,0,0,7.05821880512719,7.04251543685015,5.03124497129366,8.56355375562788,8.04663190020309,3.54396074569474,8.77091799951334,9.658281288757,8.72115649262307,0,4.32741852106426,9.65237285202585,8.60118928655517,0,5.85519731024433,5.04193935776148,0,5.68039802115266,0,0,7.50529835701563,6.96940321516446,0,11.9572516048003,0,0,0,7.22842742458855,7.97167203433782,7.88010486509737,6.40940218089152,4.05425190295099,6.60562754501136,0,0,1.90719510647182,7.92693615181022,9.71363219260804,5.89223799569775,0,4.77534010186704,0,6.59892363397955,4.68834224862371,4.64183048846546,7.57102499341313,8.47622796963178,5.18998175862467,9.61573082214229,8.06594860199804,0,8.93913095110445,7.20179149606776,5.70262065136191,7.83358486308457,9.87978242170409,8.56355375562788,7.77446760492503,4.80273528215969,0,0,6.30974712738655,7.19933449515703,6.53647584879468,6.0120375719171,0,4.73278680858848,4.44998294895887,4.62583316866398,8.43954263642824,0,7.83619072720294,0,0,0
"BP.13.1",7.60087876146721,2.71585488395167,0,0,3.27252371215249,7.81589901049877,2.71585488395167,5.14292175282855,5.91015014616188,9.89818157240076,0,5.15385008579253,0,6.63838300657486,0,2.93742638704852,5.45232807106873,0,8.2448592327298,0,0,9.87570656733848,6.90490614530591,8.39334736551581,0,0,5.49185751390316,0,0,8.52783654937413,4.70964672370639,5.34158126276529,7.83840558029734,5.2667837492069,5.36824831872439,0,6.45803069886732,6.81823795306505,0,0,0,4.09803980627231,4.26980987668987,2.93742638704852,12.6870220419582,4.48230359882634,4.63945469558537,0,8.32322828970897,5.85239221240071,8.07276193810884,7.71457690126231,8.92181873404729,5.49185751390316,0,8.81374861042851,8.87478449850803,0,5.65592088156146,5.7678363456039,0,4.74297791057497,0,4.43883010266186,6.18886040638751,5.94524096752798,4.43883010266186,7.86403861230353,7.99594174812194,8.39164233542895,9.32485390107668,7.96374322412739,6.63591692266865,7.36899548870308,6.6083808623283,4.06630917872526,5.88430930513528,0,0,1.38931268458834,0,0,0,3.46621757588102,4.29577546439645,0,4.97588119975647,0,3.5772487595891,5.99801031695792,7.17450068013789,7.40853549285681,6.69115287098095,7.88479069263715,0,7.3558609820816,7.70105176475665,2.25257940565649,7.11971280607494,9.05006376675198,7.54675930448167,5.7319050644759,3.85135566124136,4.46080301230095,2.25257940565649,5.25702809884984,4.46080301230095,6.14546147265846,6.3257634745159,0,4.72645115992266,4.62110904692467,3.19864494639428,6.88393306517575,0,5.81942275556705,0,0,0
"EP.21.1",0,0,0,5.21218438200238,0,6.63883309265279,2.10261914824849,3.18790551422378,4.55155410248308,0,0,4.67167463842356,0,6.81054397268405,0,6.40840815486267,3.53535850420384,0,9.05785003427297,0,0,10.8909761931225,4.16727118596883,7.09989079065972,0,0,5.54549751122125,4.61341654982896,0,5.98956847956913,3.10121699719215,9.37378125830945,8.41418618579078,2.65218751811121,3.41043673947514,0,0,6.4912576462255,4.39032831837494,0,0,0,0,0,13.1557774786191,0,0,3.41043673947514,4.77890326930244,5.01882701202574,7.36058949926474,5.72518634197988,8.83956783470391,5.85459498756,0,9.13879560919151,8.52454090523675,3.69764178003357,5.3834474884208,4.67167463842356,0,0,0,7.24520753007943,5.61396335888341,6.46961857303811,6.76972208135204,6.353787383684,0,0,0,0,5.82526786889701,8.82781336551091,5.65006743716043,3.92056430250531,4.94984060929778,0,0,2.10261914824849,5.78270902907565,6.09492780342098,0,3.99746926303418,4.36501849098466,0,6.11740043592821,0,6.11294612896548,5.47199746336458,5.59914867270447,9.48866816973017,4.72672528762843,6.09946291279175,7.07119687927195,3.95975535961801,0,0,5.69173914441273,9.24551971502781,7.42151568831403,5.23392310499924,0,0,4.03381326119128,4.46262828719299,5.39266375859225,5.25519931876835,6.32891947137697,0,4.102765732808,0,0,6.19436078379828,0,5.68491333565813,0,5.30648995629196,0
"EP.27.1",0,3.45603219552846,0,7.02539764324604,0,7.23386421066943,3.10872561827523,6.64284770300172,0,0,0,5.99710724244889,6.09409841887109,4.31088226747055,0,5.34923305397242,4.23295111577034,6.92260942039471,0,0,0,11.1858050560499,3.26234782672153,10.1065318720285,0,0,6.24944749940032,4.82657949890739,5.42586307129584,6.90968221132988,3.51308313835485,9.74507892349626,8.96561440327382,4.93936202350524,3.71346030265424,0,0,7.81174498934157,0,0,0,5.63911513744832,0,3.02209235833355,13.1232478793211,0,0,10.0669979683034,6.00632378460512,5.09919670022898,7.00024966985685,6.07714903621365,8.58493474877085,0,0,9.20180284467052,7.07544836892613,0,8.12786492073976,5.84757766293675,0,0,4.23295111577034,5.40933442056368,9.31414494082897,6.36482880481481,5.02858478036045,5.98780496591606,0,0,0,0,9.56858803471641,10.3260052470606,5.89482979612015,4.57317298801161,7.87316778359032,0,6.53262141662584,0,4.84139270967614,0,0,0,4.42862750019046,0,7.13505340065147,0,4.3596556864325,8.74211399443715,9.73807210706524,9.55693640083448,5.02858478036045,8.71559043975622,0,3.61827497854018,0,0,6.8344299086333,9.52929963788614,8.78291219128129,6.34867346182409,0,4.93936202350524,5.34034451115318,4.5537591233559,8.0218322795915,6.06856538377605,6.33885347622836,0,4.25960843023268,5.84218690439953,0,9.84715015956676,0,5.88452058451429,0,0,0
"EF.34.1",0,0,0,6.70438528729388,0,7.44014274806621,3.4170588943733,4.75105766100469,5.57548050872985,0,0,0,0,6.58846657695167,0,5.94438052687551,4.83512921731665,0,0,0,0,11.0200127922971,4.31902685669739,8.05394200768091,0,0,4.97065971868601,4.67831000562777,6.15897462098893,8.40050139521124,3.65304234239029,8.82045948200956,6.99950166869309,0,3.01293516032883,7.99890658757345,0,4.65926516501124,0,0,0,3.65304234239029,3.92719564098803,3.48146718244294,12.9788646866383,0,0,4.51471402473815,5.38078173020404,3.96638708877895,5.59074754900163,6.31373704372727,9.39958227672576,0,0,9.11620249294454,9.85554524156149,3.79947525254633,6.46050678155383,5.33292783860275,0,5.17387188092433,0,7.38501554297632,6.41836137528905,5.98605267422159,7.19256749815817,5.28266847038542,0,0,0,0,6.62143647541276,7.62761578366544,0,4.46926305530282,5.74489453357388,0,0,3.01293516032883,5.56775868651853,0,0,0,5.36191406110409,0,5.78311499269416,0,6.21326724324456,6.10609936795311,8.98965570271882,8.29878388257518,0,7.7245415761029,5.95496249241835,4.29163786347944,6.74341451850573,7.19713718863637,6.3210630361177,9.72565772598485,7.42210258407699,7.01055148671068,0,4.42164812008848,0,4.83512921731665,7.09481170407187,5.30307631010077,6.48558634634049,0,4.23450211707497,4.83512921731665,0,7.06404008900318,0,5.73182272306761,0,6.6968946380947,0
