"","kingdom","phylum","class","order","family","genus","species"
"2e070561ea8eb266cdb818df4837b234","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"3e2b681ffae0ed2c911d10f5f716b116","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"c79571f3987b7d0a02e80a0418cdce2d","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"06aee5e3c065195c96c0de9465f5052f","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"28846dfd572c11045b653ec2be287fd6","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"169489f5b0e35f43b973323cb38640d3","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"5293347307ba2273128ff49ef667c2e2","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"b80a21aea5f044c6d6ec228e90462724","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"31d7fc796fb54e2e2a55100f6aa965db","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"063f3e9209364b3e9f1631e9d1f5bc07","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gnavus group",NA
"02b635ee4494e4d6d8c5a2e777790528","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gnavus group",NA
"ca678c5eebd8cd6d2b9fd79b2b7b482d","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gnavus group",NA
"f842025ead49bc149ae74134c714ba81","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gnavus group",NA
"aa77c594b7d0cfa43d014f6dbdcfba08","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gnavus group",NA
"6a0de93f13432aad8fedeebd7dbb6f8b","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gnavus group",NA
"d43ccb6a8cecd300a6155e0cc00759da","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"f0be022fb4a534c825036c055e1d2918","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gnavus group",NA
"8ac23e46b3bc640932b9da4b6bbaac7d","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gnavus group",NA
"a76587d17ddcd2c38f4d2ebc59d94d97","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gnavus group",NA
"e97896d9224d3b17bfff51bd80155dbe","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gnavus group",NA
"967ed838965959e0a244e9be64d44344","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"684d5fbaa7947f241ffbea26d575032a","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium","D_6__Bifidobacterium bifidum"
"108ef8bafa0d865104d187205911c216","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"0e3667b0768c3794c8cec0839fdf7a30","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"bdc63ca5361cf55830e3850bd89815e1","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"ce4781d01654d0105b82fc5b808f0872","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"b9440453a1aab38262b8122866e953d8","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"12d1a58b118e5f82dad066f2fb1fcb35","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium","D_6__Bifidobacterium bifidum"
"2b61189ad33aa825080791152e978e1a","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"26ff0f4f70e92f14c7d20c9cdbb6e0ef","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium","D_6__Bifidobacterium bifidum"
"ee27c546bcb886bb6a5db8baab68a0b0","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gnavus group",NA
"a2c518e020bbc8d47269b1c966450330","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"2394a32611cd45b2bf20d8c4d58edd59","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium","D_6__Bifidobacterium bifidum"
"bdc54ec0731a445a7aa71b882c3b1f16","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium","D_6__Bifidobacterium bifidum"
"02efeaf502eb1c9086fc898393199d37","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"320eff9539748e26e4c8e6b21dce6017","D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__[Ruminococcus] gnavus group",NA
"68c572fb9f67cb5219199ba505777d32","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium","D_6__Bifidobacterium bifidum"
"d0c97b88ec2308ca2b6b211c505796a5","D_0__Bacteria","D_1__Actinobacteria","D_2__Coriobacteriia","D_3__Coriobacteriales","D_4__Coriobacteriaceae","D_5__Collinsella",NA
"6e9d2e50b259c8c0db96f00d696666df","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium","D_6__Bifidobacterium bifidum"
"7e5e247a2aae3a5a65d2a9fb1d4d402a","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium","D_6__Bifidobacterium bifidum"
"44e7108b2bc72f3fcf45615e8d374f7b","D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Erysipelatoclostridium",NA
"48604aed7a32d0dc1c918d621dd693ad","D_0__Bacteria","D_1__Actinobacteria","D_2__Actinobacteria","D_3__Bifidobacteriales","D_4__Bifidobacteriaceae","D_5__Bifidobacterium",NA
"1b5484df9e03fc1d9e1412d8eccef25a","D_0__Bacteria","D_1__Actinobacteria","D_2__Coriobacteriia","D_3__Coriobacteriales","D_4__Coriobacteriaceae","D_5__Collinsella",NA
"1781f50fbe64909dc5a3d0cf9ea0586c","D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Erysipelatoclostridium",NA
"fd5d69131b95d7e623d7cd64bff82425","D_0__Bacteria","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella",NA
